Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-13.935	
0.001	-13.935	
0.002	 -14.14	
0.003	-14.271	
0.004	-14.271	
0.005	-14.351	
0.006	-14.115	
0.007	-13.697	
0.008	-13.312	
0.009	-13.019	
0.010	-13.019	
0.011	-12.987	
0.012	-12.843	
0.013	-12.649	
0.014	-12.606	
0.015	-13.536	
0.016	-13.536	
0.017	-13.936	
0.018	-14.133	
0.019	 -14.23	
0.020	-14.356	
0.021	-14.515	
0.022	-14.524	
0.023	-14.142	
0.024	-13.701	
0.025	-13.307	
0.026	-13.044	
0.027	-12.997	
0.028	-13.032	
0.029	-13.019	
0.030	-12.919	
0.031	-12.929	
0.032	 -13.27	
0.033	-13.718	
0.034	-14.103	
0.035	-14.359	
0.036	-14.444	
0.037	-14.481	
0.038	-14.596	
0.039	-14.555	
0.040	-14.284	
0.041	-13.907	
0.042	-13.531	
0.043	-13.257	
0.044	-13.164	
0.045	-13.187	
0.046	-13.248	
0.047	-13.218	
0.048	 -13.27	
0.049	  -13.6	
0.050	-14.409	
0.051	-14.409	
0.052	-14.631	
0.053	-14.533	
0.054	-14.545	
0.055	-14.456	
0.056	 -14.24	
0.057	-14.074	
0.058	-13.887	
0.059	-13.681	
0.060	-13.478	
0.061	-13.351	
0.062	-13.351	
0.063	-13.412	
0.064	-13.544	
0.065	-13.799	
0.066	-14.037	
0.067	-14.295	
0.068	-14.295	
0.069	-14.705	
0.070	-14.719	
0.071	-14.644	
0.072	-14.399	
0.073	-14.087	
0.074	-14.087	
0.075	-13.525	
0.076	-13.231	
0.077	-13.065	
0.078	-13.077	
0.079	-13.227	
0.080	-13.227	
0.081	 -13.77	
0.082	-14.224	
0.083	-14.593	
0.084	-14.816	
0.085	 -14.89	
0.086	 -14.89	
0.087	-14.928	
0.088	-15.101	
0.089	-15.148	
0.090	-14.806	
0.091	-14.339	
0.092	-14.339	
0.093	-13.562	
0.094	-13.562	
0.095	-13.469	
0.096	-13.469	
0.097	-13.355	
0.098	-13.355	
0.099	-13.817	
0.100	-13.817	
0.101	-14.513	
0.102	-14.513	
0.103	-14.778	
0.104	-14.778	
0.105	-15.003	
0.106	-15.003	
0.107	-14.342	
0.108	-14.342	
0.109	-13.469	
0.110	-13.469	
0.111	 -13.21	
0.112	 -13.21	
0.113	-13.212	
0.114	-13.212	
0.115	-13.243	
0.116	-13.243	
0.117	 -14.18	
0.118	 -14.18	
0.119	 -14.73	
0.120	 -14.73	
0.121	 -14.88	
0.122	 -14.88	
0.123	-14.775	
0.124	-14.775	
0.125	-13.821	
0.126	-13.821	
0.127	-13.467	
0.128	-13.467	
0.129	-13.421	
0.130	-13.421	
0.131	-13.197	
0.132	-13.197	
0.133	 -13.91	
0.134	 -13.91	
0.135	-14.377	
0.136	-14.377	
0.137	-14.496	
0.138	-14.496	
0.139	 -14.62	
0.140	 -14.62	
0.141	-13.764	
0.142	-13.764	
0.143	-13.089	
0.144	-13.089	
0.145	-13.065	
0.146	-13.065	
0.147	-13.136	
0.148	-13.194	
0.149	-13.194	
0.150	-13.787	
0.151	-13.787	
0.152	-14.113	
0.153	-14.113	
0.154	 -14.07	
0.155	 -14.07	
0.156	-13.956	
0.157	-13.956	
0.158	 -13.35	
0.159	 -13.35	
0.160	-12.649	
0.161	-12.649	
0.162	-12.408	
0.163	-12.335	
0.164	-12.341	
0.165	-12.354	
0.166	-12.497	
0.167	-12.874	
0.168	-13.315	
0.169	-13.657	
0.170	  -13.8	
0.171	  -13.8	
0.172	-13.925	
0.173	-14.139	
0.174	-14.122	
0.175	-13.854	
0.176	-13.481	
0.177	 -13.13	
0.178	-12.921	
0.179	-12.844	
0.180	-12.791	
0.181	-12.687	
0.182	-12.631	
0.183	-12.949	
0.184	-13.369	
0.185	-13.649	
0.186	-13.765	
0.187	-13.795	
0.188	-13.832	
0.189	-13.881	
0.190	-13.738	
0.191	-13.268	
0.192	-12.803	
0.193	-12.485	
0.194	-12.381	
0.195	-12.411	
0.196	-12.487	
0.197	-12.463	
0.198	-12.336	
0.199	-12.433	
0.200	-12.867	
0.201	 -13.36	
0.202	-13.722	
0.203	-13.818	
0.204	 -13.78	
0.205	 -13.78	
0.206	-13.854	
0.207	 -13.67	
0.208	-12.941	
0.209	-12.941	
0.210	-12.627	
0.211	-12.486	
0.212	-12.461	
0.213	-12.477	
0.214	-12.555	
0.215	-12.941	
0.216	-13.301	
0.217	-13.485	
0.218	-13.565	
0.219	-13.618	
0.220	-13.676	
0.221	-13.728	
0.222	-13.489	
0.223	-13.009	
0.224	-12.582	
0.225	-12.354	
0.226	-12.274	
0.227	-12.232	
0.228	-12.207	
0.229	-12.274	
0.230	 -12.39	
0.231	-12.721	
0.232	-13.073	
0.233	-13.365	
0.234	-13.636	
0.235	-13.849	
0.236	-13.954	
0.237	-13.934	
0.238	-13.799	
0.239	-13.382	
0.240	-13.009	
0.241	 -12.72	
0.242	-12.466	
0.243	-12.307	
0.244	-12.308	
0.245	-12.392	
0.246	-12.455	
0.247	-12.537	
0.248	-12.915	
0.249	-13.406	
0.250	-13.838	
0.251	-14.107	
0.252	-14.201	
0.253	-14.229	
0.254	-14.302	
0.255	-14.185	
0.256	 -13.84	
0.257	-13.435	
0.258	-13.099	
0.259	-12.927	
0.260	-12.878	
0.261	-12.794	
0.262	-12.611	
0.263	-12.479	
0.264	 -12.78	
0.265	-13.278	
0.266	-13.727	
0.267	-13.984	
0.268	-14.069	
0.269	-14.139	
0.270	-14.278	
0.271	 -14.27	
0.272	-13.941	
0.273	-13.533	
0.274	 -13.16	
0.275	-12.897	
0.276	-12.838	
0.277	-12.884	
0.278	-12.897	
0.279	-12.785	
0.280	-12.822	
0.281	-13.194	
0.282	-13.648	
0.283	-14.018	
0.284	-14.018	
0.285	-14.332	
0.286	-14.387	
0.287	 -14.46	
0.288	-14.272	
0.289	-13.968	
0.290	-13.968	
0.291	-13.265	
0.292	-13.265	
0.293	-12.931	
0.294	-12.937	
0.295	-12.937	
0.296	-12.959	
0.297	-13.174	
0.298	-13.174	
0.299	-13.826	
0.300	-14.106	
0.301	-14.106	
0.302	-14.123	
0.303	-14.123	
0.304	-13.926	
0.305	-13.926	
0.306	-13.458	
0.307	-13.458	
0.308	-13.161	
0.309	-13.161	
0.310	-12.815	
0.311	-12.815	
0.312	-12.821	
0.313	-12.821	
0.314	 -13.36	
0.315	 -13.36	
0.316	-13.745	
0.317	-13.745	
0.318	-14.103	
0.319	-14.103	
0.320	 -14.19	
