Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	 -51.41	
0.001	-51.393	
0.002	-51.195	
0.003	-51.043	
0.004	-51.011	
0.005	-50.862	
0.006	-50.642	
0.007	-50.346	
0.008	-50.052	
0.009	-49.921	
0.010	-50.032	
0.011	-50.232	
0.012	-50.284	
0.013	-50.231	
0.014	-50.417	
0.015	-50.797	
0.016	 -51.25	
0.017	-51.535	
0.018	-51.497	
0.019	-51.323	
0.020	-51.305	
0.021	-51.322	
0.022	-51.333	
0.023	-51.265	
0.024	-51.002	
0.025	-50.598	
0.026	-50.251	
0.027	-50.226	
0.028	-50.528	
0.029	-50.845	
0.030	-51.024	
0.031	-51.189	
0.032	-51.293	
0.033	-51.453	
0.034	-51.695	
0.035	-51.822	
0.036	-51.822	
0.037	-51.545	
0.038	-51.545	
0.039	-51.343	
0.040	-51.343	
0.041	-50.846	
0.042	-50.846	
0.043	-50.239	
0.044	-50.239	
0.045	 -50.49	
0.046	 -50.49	
0.047	-50.599	
0.048	-50.599	
0.049	-51.306	
0.050	-51.306	
0.051	-52.014	
0.052	-52.014	
0.053	-51.938	
0.054	-51.938	
0.055	-52.119	
0.056	-52.119	
0.057	-51.681	
0.058	-51.681	
0.059	 -51.13	
0.060	 -51.13	
0.061	-51.171	
0.062	-51.171	
0.063	-51.086	
0.064	-51.086	
0.065	-51.456	
0.066	-51.456	
0.067	-52.263	
0.068	-52.263	
0.069	-52.373	
0.070	-52.373	
0.071	-52.429	
0.072	-52.429	
0.073	-51.804	
0.074	-51.804	
0.075	-51.046	
0.076	-51.046	
0.077	-50.322	
0.078	-50.322	
0.079	-49.726	
0.080	-49.726	
0.081	-50.145	
0.082	-50.145	
0.083	-50.871	
0.084	-50.871	
0.085	-51.308	
0.086	-51.308	
0.087	-51.262	
0.088	-51.262	
0.089	-51.119	
0.090	-51.119	
0.091	-50.976	
0.092	-50.976	
0.093	-49.883	
0.094	-49.883	
0.095	-49.669	
0.096	-49.669	
0.097	-50.062	
0.098	-50.062	
0.099	-49.973	
0.100	-49.973	
0.101	-50.991	
0.102	-50.991	
0.103	-51.589	
0.104	-51.589	
0.105	-51.299	
0.106	-51.299	
0.107	-51.403	
0.108	-51.403	
0.109	-50.764	
0.110	-50.764	
0.111	-50.385	
0.112	-50.385	
0.113	-50.561	
0.114	-50.561	
0.115	-50.116	
0.116	-50.116	
0.117	-50.801	
0.118	-50.801	
0.119	-51.113	
0.120	-51.113	
0.121	-51.029	
0.122	-51.344	
0.123	-51.344	
0.124	-50.887	
0.125	-50.887	
