Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-79.009	
0.001	-79.009	
0.002	-78.731	
0.003	-78.731	
0.004	-77.699	
0.005	-77.699	
0.006	-77.346	
0.007	-77.346	
0.008	-77.217	
0.009	-77.217	
0.010	-77.309	
0.011	-77.309	
0.012	-77.384	
0.013	-78.028	
0.014	-78.743	
0.015	-78.743	
0.016	-79.147	
0.017	-79.147	
0.018	-78.813	
0.019	-78.813	
0.020	-78.102	
0.021	-78.102	
0.022	-77.329	
0.023	-77.329	
0.024	-76.829	
0.025	-76.829	
0.026	-76.581	
0.027	-76.581	
0.028	-75.999	
0.029	-75.999	
0.030	-76.464	
0.031	-76.464	
0.032	-76.798	
0.033	-76.798	
0.034	 -77.23	
0.035	 -77.23	
0.036	-77.848	
0.037	-77.848	
0.038	-77.407	
0.039	-77.407	
0.040	-76.754	
0.041	-76.754	
0.042	-76.654	
0.043	-76.616	
0.044	-76.525	
0.045	-76.429	
0.046	-76.401	
0.047	-77.034	
0.048	-77.034	
0.049	-77.184	
0.050	-76.915	
0.051	-76.459	
0.052	-76.204	
0.053	  -76.3	
0.054	 -76.31	
0.055	-75.772	
0.056	-75.056	
0.057	-74.822	
0.058	-75.187	
0.059	-75.555	
0.060	-75.284	
0.061	-74.596	
0.062	-74.242	
0.063	-74.824	
0.064	-75.712	
0.065	-75.983	
0.066	 -75.69	
0.067	-75.584	
0.068	-76.256	
0.069	 -77.22	
0.070	-77.418	
0.071	-76.532	
0.072	-75.597	
0.073	-75.645	
0.074	-76.396	
0.075	 -76.71	
0.076	-76.149	
0.077	-75.371	
0.078	-75.279	
0.079	-75.937	
0.080	-76.721	
0.081	-76.824	
0.082	-76.526	
0.083	-76.529	
0.084	-76.996	
0.085	-77.257	
0.086	-76.925	
0.087	-76.215	
0.088	-75.791	
0.089	-75.292	
0.090	-74.721	
0.091	-74.593	
0.092	-74.593	
0.093	-75.205	
0.094	-75.031	
0.095	-74.959	
0.096	-75.298	
0.097	-75.919	
0.098	-76.193	
0.099	 -75.91	
0.100	-75.556	
0.101	 -75.66	
0.102	-75.829	
0.103	-75.553	
0.104	-74.804	
0.105	-74.184	
0.106	-74.248	
0.107	-74.714	
0.108	-74.823	
0.109	-74.412	
0.110	-74.218	
0.111	-74.774	
0.112	-75.506	
0.113	-75.732	
0.114	 -75.53	
0.115	 -75.61	
0.116	 -76.13	
0.117	-76.262	
0.118	-75.548	
0.119	-74.778	
0.120	 -74.64	
0.121	-74.959	
0.122	-74.983	
0.123	-74.422	
0.124	-73.761	
0.125	 -73.59	
0.126	-74.118	
0.127	-74.766	
0.128	-74.877	
0.129	-74.674	
0.130	-74.666	
0.131	-75.045	
0.132	-75.495	
0.133	 -75.69	
0.134	-75.427	
0.135	-75.134	
0.136	-75.143	
0.137	-75.108	
0.138	-74.698	
0.139	-74.301	
0.140	-74.477	
0.141	-75.007	
0.142	-75.094	
0.143	-74.859	
0.144	 -74.78	
0.145	-75.483	
0.146	-76.697	
0.147	-77.362	
0.148	-77.095	
0.149	-76.525	
0.150	-76.608	
0.151	-77.215	
0.152	-77.747	
0.153	 -77.42	
0.154	-76.502	
0.155	-75.946	
0.156	-76.441	
0.157	-77.487	
0.158	-77.821	
0.159	-77.205	
0.160	-76.416	
0.161	-76.475	
0.162	-77.284	
0.163	-78.137	
0.164	-78.292	
0.165	-77.885	
0.166	-77.663	
0.167	-78.067	
0.168	 -78.51	
0.169	-78.056	
0.170	-77.072	
0.171	-76.225	
0.172	-76.032	
0.173	-76.258	
0.174	-76.329	
0.175	-76.011	
0.176	-75.707	
0.177	-75.983	
0.178	-76.847	
0.179	-77.657	
0.180	-77.895	
0.181	-77.877	
0.182	 -78.03	
0.183	-78.325	
0.184	-78.445	
0.185	-78.459	
0.186	 -78.64	
0.187	-78.757	
0.188	-78.725	
0.189	-78.495	
0.190	-78.264	
0.191	-78.174	
0.192	-78.208	
0.193	-78.141	
0.194	-77.828	
0.195	-77.505	
0.196	-77.659	
0.197	-77.659	
0.198	-78.682	
0.199	-78.682	
0.200	-79.547	
0.201	-79.516	
0.202	-79.516	
0.203	-79.258	
0.204	-79.258	
0.205	-78.948	
0.206	-78.681	
0.207	-78.681	
0.208	 -78.15	
0.209	 -78.15	
0.210	-77.911	
0.211	-77.881	
0.212	-77.881	
0.213	-78.256	
0.214	-78.256	
0.215	-78.486	
0.216	-78.305	
0.217	-78.305	
0.218	-77.598	
0.219	-77.598	
0.220	-77.081	
0.221	-77.081	
0.222	-76.647	
0.223	-76.647	
0.224	-76.448	
0.225	-76.448	
0.226	-76.405	
0.227	-76.405	
0.228	 -76.59	
0.229	 -76.59	
0.230	-77.666	
0.231	-77.666	
0.232	-78.476	
0.233	-78.476	
0.234	-78.661	
0.235	-78.661	
0.236	-78.629	
0.237	-78.629	
0.238	-78.649	
0.239	-78.649	
0.240	  -78.1	
0.241	  -78.1	
0.242	-77.961	
0.243	 -77.77	
0.244	-77.533	
0.245	-77.585	
0.246	-77.973	
0.247	-78.501	
0.248	-78.692	
0.249	-78.623	
0.250	-78.454	
0.251	-78.313	
0.252	-78.371	
0.253	-78.656	
0.254	-78.677	
0.255	-78.067	
0.256	-77.359	
0.257	-77.028	
0.258	-77.004	
0.259	-76.934	
0.260	-76.757	
0.261	-76.641	
0.262	-76.736	
0.263	-76.913	
0.264	-77.129	
0.265	-77.392	
0.266	-77.879	
0.267	-78.412	
0.268	 -78.65	
0.269	-78.566	
0.270	-78.307	
0.271	-77.823	
0.272	-77.201	
0.273	-76.762	
0.274	-76.462	
0.275	-76.214	
0.276	-76.044	
0.277	-75.977	
0.278	-75.894	
0.279	-75.652	
0.280	 -75.52	
0.281	-76.064	
0.282	-76.317	
0.283	-76.377	
0.284	-76.363	
0.285	-76.557	
0.286	-76.895	
0.287	-76.965	
0.288	-76.871	
0.289	-76.695	
0.290	-76.398	
0.291	-76.165	
0.292	-76.122	
0.293	-76.157	
0.294	-76.103	
0.295	-76.019	
0.296	-76.211	
0.297	-76.559	
0.298	-76.932	
0.299	-77.097	
0.300	-76.767	
0.301	-76.153	
0.302	-75.724	
0.303	-75.564	
0.304	-75.395	
0.305	-74.958	
0.306	-74.382	
0.307	-74.235	
0.308	-74.595	
0.309	 -74.85	
0.310	-74.472	
0.311	-73.877	
0.312	 -74.06	
0.313	-74.947	
0.314	-75.752	
0.315	-75.796	
0.316	-75.391	
0.317	-75.408	
0.318	-76.124	
0.319	-76.576	
0.320	-76.044	
0.321	-75.086	
0.322	-74.719	
0.323	-75.237	
0.324	-75.875	
0.325	-75.768	
0.326	-75.085	
0.327	-74.633	
0.328	-75.215	
0.329	-76.208	
0.330	-76.636	
0.331	-76.424	
0.332	-76.141	
0.333	-76.242	
0.334	-76.433	
0.335	-76.066	
0.336	-75.358	
0.337	-74.877	
0.338	-74.651	
0.339	-74.303	
0.340	-73.808	
0.341	-73.674	
0.342	 -74.05	
0.343	-74.547	
0.344	-74.714	
0.345	-74.632	
0.346	-74.768	
0.347	-75.218	
0.348	-75.452	
0.349	-75.137	
0.350	-74.564	
0.351	-74.221	
0.352	-74.226	
0.353	-74.002	
0.354	-73.437	
0.355	-73.092	
0.356	-73.279	
0.357	-73.604	
0.358	-73.551	
0.359	 -73.52	
0.360	-73.828	
0.361	-74.469	
0.362	-74.893	
0.363	-74.754	
0.364	-74.502	
0.365	-74.718	
0.366	-74.979	
0.367	  -74.7	
0.368	-73.921	
0.369	-73.323	
0.370	-73.417	
0.371	-73.781	
0.372	 -73.69	
0.373	-73.125	
0.374	-72.789	
0.375	-73.139	
0.376	-73.806	
0.377	-74.189	
0.378	-74.044	
0.379	-73.761	
0.380	-73.806	
0.381	-74.181	
0.382	 -74.31	
0.383	-74.088	
0.384	-73.721	
0.385	-73.499	
0.386	 -73.36	
0.387	-73.166	
0.388	-73.097	
0.389	-73.359	
0.390	-73.359	
0.391	-74.066	
0.392	-74.066	
0.393	-74.286	
0.394	-75.103	
0.395	-75.944	
0.396	-76.024	
0.397	-76.024	
0.398	-74.952	
0.399	-74.952	
0.400	-75.805	
0.401	-75.805	
0.402	-75.218	
0.403	-75.218	
0.404	-74.762	
0.405	 -75.71	
0.406	 -75.71	
0.407	-76.071	
0.408	-75.578	
0.409	-75.578	
0.410	-75.958	
0.411	-75.958	
