Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.0374105	
0.001	0.0372044	
0.002	0.0368108	
0.003	0.0368661	
0.004	0.0368375	
0.005	0.0367181	
0.006	0.0372039	
0.007	0.0371516	
0.008	0.0370674	
0.009	0.0371918	
0.010	0.0374013	
0.011	0.0376521	
0.012	0.0378474	
0.013	0.0384123	
0.014	0.0387919	
0.015	0.0389794	
0.016	0.038854	
0.017	0.038977	
0.018	0.0388435	
0.019	0.0386355	
0.020	0.0387213	
0.021	0.0384771	
0.022	0.0383462	
0.023	0.0386548	
0.024	0.0389706	
0.025	0.0391602	
0.026	0.0387949	
0.027	0.0385408	
0.028	0.0387429	
0.029	0.0388149	
0.030	0.0392702	
0.031	0.0394555	
0.032	0.0396028	
0.033	0.0394803	
0.034	0.039646	
0.035	0.0393036	
0.036	0.0392227	
0.037	0.0387252	
0.038	0.0385174	
0.039	0.0387371	
0.040	0.0389016	
0.041	0.0390895	
0.042	0.0391084	
0.043	0.0389813	
0.044	0.0386712	
0.045	0.0389883	
0.046	0.0389785	
0.047	0.0389006	
0.048	0.03865	
0.049	0.0380014	
0.050	0.0376217	
0.051	0.0374379	
0.052	0.0373796	
0.053	0.0377392	
0.054	0.0381795	
0.055	0.0386049	
0.056	0.0387108	
0.057	0.0386802	
0.058	0.038481	
0.059	0.0386079	
0.060	0.0388261	
0.061	0.0385838	
0.062	0.038495	
0.063	0.0382043	
0.064	0.0379573	
0.065	0.0379437	
0.066	0.0380039	
0.067	0.038148	
0.068	0.0381126	
0.069	0.0382922	
0.070	0.0384777	
0.071	0.0385444	
0.072	0.0384975	
0.073	0.0387015	
0.074	0.0384705	
0.075	0.0383345	
0.076	0.0385027	
0.077	0.0385156	
0.078	0.0387143	
0.079	0.0386107	
0.080	0.03845	
0.081	0.03845	
0.082	0.0388846	
0.083	0.0387991	
0.084	0.0385623	
0.085	0.0384203	
0.086	0.0377337	
0.087	0.0379383	
0.088	0.0376805	
0.089	0.037773	
0.090	0.0380005	
0.091	0.0379825	
0.092	0.0377474	
0.093	0.0380333	
0.094	0.038089	
0.095	0.0377873	
0.096	0.0379994	
0.097	0.0384513	
0.098	0.038466	
0.099	0.0382293	
0.100	0.0383153	
0.101	0.0381914	
0.102	0.038681	
0.103	0.0390844	
0.104	0.0393217	
0.105	0.0397784	
0.106	0.0396726	
0.107	0.0402174	
0.108	0.0402174	
0.109	0.0402298	
0.110	0.0402298	
0.111	0.0402687	
0.112	0.0402687	
0.113	0.0403011	
0.114	0.0403011	
0.115	0.0402286	
0.116	0.0402286	
0.117	0.0404556	
0.118	0.0404556	
0.119	0.0404187	
0.120	0.040596	
0.121	0.040596	
0.122	0.0405874	
0.123	0.0405874	
0.124	0.0410042	
0.125	0.0409884	
0.126	0.0410329	
0.127	0.0408796	
0.128	0.0407244	
0.129	0.0407383	
0.130	0.0407857	
0.131	0.0410627	
0.132	0.0414747	
0.133	0.0415119	
0.134	0.0415016	
0.135	0.0410545	
0.136	0.0405539	
0.137	0.0400561	
0.138	0.0399681	
0.139	0.0400378	
0.140	0.0398109	
0.141	0.0397899	
0.142	0.039846	
0.143	0.0399125	
0.144	0.0398222	
0.145	0.0397547	
0.146	0.0397353	
0.147	0.0397101	
0.148	0.0396025	
0.149	0.0394699	
0.150	0.0392115	
0.151	0.0390429	
0.152	0.0392051	
0.153	0.039652	
0.154	0.0395633	
0.155	0.0399459	
0.156	0.0404983	
0.157	0.0401392	
0.158	0.0399801	
0.159	0.0399087	
0.160	0.0396804	
0.161	0.0393503	
0.162	0.0398286	
0.163	0.0398516	
0.164	0.039798	
0.165	0.0396167	
0.166	0.0396282	
0.167	0.0395015	
0.168	0.0398249	
0.169	0.0397379	
0.170	0.0396348	
0.171	0.039275	
0.172	0.0390805	
0.173	0.0392576	
0.174	0.039506	
0.175	0.0398926	
0.176	0.0400296	
0.177	0.0400507	
0.178	0.040066	
0.179	0.0401181	
0.180	0.0400813	
0.181	0.0400813	
0.182	0.0403241	
0.183	0.0406621	
0.184	0.0409297	
0.185	0.0410022	
0.186	0.0410267	
0.187	0.0404201	
0.188	0.040094	
0.189	0.040335	
0.190	0.0402927	
0.191	0.0403326	
0.192	0.0401602	
0.193	0.0403788	
0.194	0.0402396	
0.195	0.0406024	
0.196	0.0407683	
0.197	0.0406905	
0.198	0.0406905	
0.199	0.0409995	
0.200	0.0411053	
0.201	0.041191	
0.202	0.0414328	
0.203	0.0412807	
0.204	0.0410986	
0.205	0.0410642	
0.206	0.0408137	
0.207	0.0409472	
0.208	0.0410916	
0.209	0.0410922	
0.210	0.0412472	
0.211	0.0412202	
0.212	0.0414099	
0.213	0.0415603	
0.214	0.0416846	
0.215	0.0413624	
0.216	0.0407909	
0.217	0.0406024	
0.218	0.0406072	
0.219	0.0408918	
0.220	0.0409044	
0.221	0.0408816	
0.222	0.0409291	
0.223	0.0407524	
0.224	0.0409456	
0.225	0.0407216	
0.226	0.0406174	
0.227	0.0407249	
0.228	0.0408118	
0.229	0.0406286	
0.230	0.0405969	
0.231	0.0404958	
0.232	0.0405603	
0.233	0.0407549	
0.234	0.0409017	
0.235	0.0410865	
0.236	0.0410424	
0.237	0.0414399	
0.238	0.0414402	
0.239	0.041372	
0.240	0.0419331	
0.241	0.0417091	
0.242	0.0408799	
0.243	0.0411861	
0.244	0.0413812	
0.245	0.0416174	
0.246	0.0414163	
0.247	0.0409939	
0.248	0.0409177	
0.249	0.0406157	
0.250	0.0404608	
0.251	0.0404295	
0.252	0.0399999	
0.253	0.04002	
0.254	0.039918	
0.255	0.0398124	
0.256	0.0397928	
0.257	0.0400003	
0.258	0.0400323	
0.259	0.040628	
0.260	0.0411637	
0.261	0.0410204	
0.262	0.0412713	
0.263	0.0408985	
0.264	0.0404183	
0.265	0.0403418	
0.266	0.0405276	
0.267	0.0406056	
0.268	0.0405499	
0.269	0.0401328	
0.270	0.0403657	
0.271	0.0401907	
0.272	0.0401725	
0.273	0.0406262	
0.274	0.0409527	
0.275	0.0407036	
0.276	0.0404478	
0.277	0.040572	
0.278	0.0409542	
0.279	0.0414584	
0.280	0.0416224	
0.281	0.0416224	
0.282	0.0416776	
0.283	0.0415254	
0.284	0.0417112	
0.285	0.0418484	
0.286	0.0419061	
0.287	0.0419714	
0.288	0.042199	
0.289	0.0421275	
0.290	0.0422339	
0.291	0.0417278	
0.292	0.0421165	
0.293	0.0421582	
0.294	0.0422055	
0.295	0.0425172	
0.296	0.0423634	
0.297	0.0417784	
0.298	0.0415224	
0.299	0.0414024	
0.300	0.040966	
0.301	0.0406607	
0.302	0.0407752	
0.303	0.0407752	
0.304	0.0406493	
0.305	0.0407374	
0.306	0.0405012	
0.307	0.0403143	
0.308	0.0401832	
0.309	0.0397567	
0.310	0.0395781	
0.311	0.0396406	
0.312	0.0396226	
0.313	0.0394838	
0.314	0.0394153	
0.315	0.039635	
0.316	0.0394977	
0.317	0.0391561	
0.318	0.0389696	
0.319	0.039222	
0.320	0.0397187	
0.321	0.0399241	
0.322	0.0397031	
0.323	0.039655	
0.324	0.0392353	
0.325	0.0394983	
0.326	0.0393237	
0.327	0.0392868	
0.328	0.0394835	
0.329	0.0398344	
0.330	0.0392985	
0.331	0.0388044	
0.332	0.0387709	
0.333	0.0389684	
0.334	0.0386896	
0.335	0.0386295	
0.336	0.0387441	
0.337	0.0386497	
0.338	0.0387888	
0.339	0.0389228	
0.340	0.039232	
0.341	0.0394577	
0.342	0.0393015	
0.343	0.0388976	
0.344	0.0390505	
0.345	0.039504	
0.346	0.0394324	
0.347	0.0387954	
0.348	0.0393674	
0.349	0.0393674	
0.350	0.0397611	
0.351	0.0398572	
0.352	0.0395751	
0.353	0.0395751	
0.354	0.039423	
0.355	0.039423	
0.356	0.0387483	
0.357	0.0381595	
0.358	0.0381513	
0.359	0.0381513	
0.360	0.0387271	
0.361	0.0387271	
0.362	0.0389839	
0.363	0.0389839	
0.364	0.0398635	
0.365	0.0398635	
0.366	0.040345	
0.367	0.040345	
0.368	0.0402174	
0.369	0.0402174	
0.370	0.0400562	
0.371	0.0400562	
0.372	0.0388494	
0.373	0.0388494	
0.374	0.0386298	
0.375	0.0386298	
0.376	0.0392287	
0.377	0.0392287	
0.378	0.0393857	
0.379	0.0395397	
0.380	0.0398489	
0.381	0.0400207	
0.382	0.0401955	
0.383	0.0395911	
0.384	0.0396449	
0.385	0.0395237	
0.386	0.0392568	
