Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.119191	
0.001	0.119562	
0.002	0.119701	
0.003	0.119701	
0.004	0.119597	
0.005	0.119592	
0.006	0.119592	
0.007	0.120144	
0.008	0.120144	
0.009	0.120299	
0.010	0.120065	
0.011	0.120065	
0.012	0.119427	
0.013	0.119323	
0.014	0.11925	
0.015	0.119591	
0.016	0.119642	
0.017	0.119698	
0.018	0.119698	
0.019	0.119161	
0.020	0.119161	
0.021	0.118772	
0.022	0.118772	
0.023	0.120089	
0.024	0.120089	
0.025	0.120503	
0.026	0.120503	
0.027	0.120081	
0.028	0.120333	
0.029	0.120333	
0.030	0.120505	
0.031	0.120505	
0.032	0.121443	
0.033	0.121443	
0.034	0.121226	
0.035	0.121226	
0.036	0.121079	
0.037	0.121079	
0.038	0.121385	
0.039	0.121385	
0.040	0.12113	
0.041	0.120726	
0.042	0.12033	
0.043	0.12033	
0.044	0.12009	
0.045	0.120333	
0.046	0.120554	
0.047	0.120506	
0.048	0.120506	
0.049	0.120443	
0.050	0.120177	
0.051	0.120225	
0.052	0.119997	
0.053	0.120442	
0.054	0.120821	
0.055	0.121259	
0.056	0.121259	
0.057	0.12105	
0.058	0.12105	
0.059	0.120834	
0.060	0.121036	
0.061	0.121931	
0.062	0.122175	
0.063	0.12207	
0.064	0.121967	
0.065	0.121126	
0.066	0.121472	
0.067	0.121315	
0.068	0.121066	
0.069	0.12103	
0.070	0.121013	
0.071	0.120996	
0.072	0.12076	
0.073	0.120293	
0.074	0.119919	
0.075	0.120234	
0.076	0.120447	
0.077	0.120487	
0.078	0.120614	
0.079	0.120544	
0.080	0.120733	
0.081	0.120566	
0.082	0.120526	
0.083	0.120347	
0.084	0.120776	
0.085	0.120763	
0.086	0.120712	
0.087	0.120395	
0.088	0.120285	
0.089	0.120364	
0.090	0.120235	
0.091	0.120309	
0.092	0.120404	
0.093	0.120351	
0.094	0.120126	
0.095	0.119398	
0.096	0.118918	
0.097	0.119057	
0.098	0.118601	
0.099	0.118068	
0.100	0.118209	
0.101	0.118137	
0.102	0.117584	
0.103	0.117342	
0.104	0.11701	
0.105	0.117895	
0.106	0.118404	
0.107	0.118468	
0.108	0.118828	
0.109	0.118976	
0.110	0.119072	
0.111	0.118858	
0.112	0.119302	
0.113	0.11914	
0.114	0.119082	
0.115	0.119906	
0.116	0.119648	
0.117	0.119778	
0.118	0.119735	
0.119	0.119828	
0.120	0.119967	
0.121	0.119862	
0.122	0.120139	
0.123	0.120111	
0.124	0.119755	
0.125	0.119347	
0.126	0.119388	
0.127	0.119074	
0.128	0.119125	
0.129	0.11983	
0.130	0.119958	
0.131	0.119283	
0.132	0.119237	
0.133	0.119574	
0.134	0.119198	
0.135	0.119708	
0.136	0.12023	
0.137	0.120431	
0.138	0.120446	
0.139	0.120732	
0.140	0.120515	
0.141	0.120065	
0.142	0.119967	
0.143	0.119967	
0.144	0.120248	
0.145	0.120546	
0.146	0.120437	
0.147	0.120279	
0.148	0.119748	
0.149	0.119035	
0.150	0.119134	
0.151	0.119505	
0.152	0.118733	
0.153	0.118762	
0.154	0.118678	
0.155	0.118662	
0.156	0.11808	
0.157	0.11808	
0.158	0.117415	
0.159	0.116588	
0.160	0.117259	
0.161	0.117645	
0.162	0.117542	
0.163	0.117233	
0.164	0.117265	
0.165	0.117374	
0.166	0.11768	
0.167	0.11779	
0.168	0.118306	
0.169	0.118546	
0.170	0.118319	
0.171	0.118543	
0.172	0.11881	
0.173	0.118438	
0.174	0.118627	
0.175	0.118849	
0.176	0.119487	
0.177	0.119423	
0.178	0.119089	
0.179	0.11837	
0.180	0.118531	
0.181	0.118443	
0.182	0.118729	
0.183	0.118965	
0.184	0.119102	
0.185	0.119258	
0.186	0.118842	
0.187	0.11888	
0.188	0.118313	
0.189	0.119132	
0.190	0.118917	
0.191	0.119676	
0.192	0.119747	
0.193	0.119984	
0.194	0.119994	
0.195	0.120037	
0.196	0.119818	
0.197	0.120086	
0.198	0.120966	
0.199	0.121254	
0.200	0.121276	
0.201	0.120911	
0.202	0.121025	
0.203	0.120765	
0.204	0.12071	
0.205	0.120777	
0.206	0.12066	
0.207	0.120499	
0.208	0.12027	
0.209	0.119836	
0.210	0.119183	
0.211	0.119027	
0.212	0.119374	
0.213	0.119312	
0.214	0.11905	
0.215	0.119112	
0.216	0.11902	
0.217	0.11885	
0.218	0.118769	
0.219	0.119029	
0.220	0.119311	
0.221	0.119637	
0.222	0.120111	
0.223	0.11984	
0.224	0.119734	
0.225	0.119742	
0.226	0.119474	
0.227	0.120021	
0.228	0.120205	
0.229	0.120364	
0.230	0.120428	
0.231	0.120448	
0.232	0.1197	
0.233	0.120038	
0.234	0.119496	
0.235	0.119543	
0.236	0.119729	
0.237	0.120135	
0.238	0.119621	
0.239	0.11947	
0.240	0.118709	
0.241	0.118729	
0.242	0.118578	
0.243	0.118578	
0.244	0.119292	
0.245	0.119489	
0.246	0.11915	
0.247	0.119076	
0.248	0.119076	
0.249	0.118882	
0.250	0.119016	
0.251	0.119228	
0.252	0.1196	
0.253	0.1196	
0.254	0.119554	
0.255	0.119538	
0.256	0.119373	
0.257	0.11937	
0.258	0.119457	
0.259	0.119508	
0.260	0.11971	
0.261	0.119573	
0.262	0.119286	
0.263	0.119286	
0.264	0.118735	
0.265	0.118307	
0.266	0.118332	
0.267	0.118625	
0.268	0.118369	
0.269	0.117693	
0.270	0.117934	
0.271	0.118064	
0.272	0.117937	
0.273	0.117532	
0.274	0.118264	
0.275	0.118656	
0.276	0.118698	
0.277	0.118566	
0.278	0.118099	
0.279	0.118906	
0.280	0.118805	
0.281	0.118795	
0.282	0.118998	
0.283	0.119461	
0.284	0.12006	
0.285	0.119765	
0.286	0.119599	
0.287	0.119657	
0.288	0.119645	
0.289	0.119879	
0.290	0.119758	
0.291	0.11958	
0.292	0.119334	
0.293	0.119179	
0.294	0.118932	
0.295	0.118733	
0.296	0.118733	
0.297	0.118843	
0.298	0.118843	
0.299	0.118589	
0.300	0.118434	
0.301	0.118319	
0.302	0.118373	
0.303	0.118662	
0.304	0.119232	
0.305	0.119271	
0.306	0.119451	
0.307	0.119145	
0.308	0.119251	
0.309	0.118743	
0.310	0.118853	
0.311	0.118845	
0.312	0.119247	
0.313	0.119376	
0.314	0.119314	
0.315	0.119155	
0.316	0.118422	
0.317	0.118042	
0.318	0.117878	
0.319	0.118051	
0.320	0.117866	
0.321	0.118103	
