Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.0780588	
0.001	0.0770451	
0.002	0.0773942	
0.003	0.0771516	
0.004	0.0768246	
0.005	0.0768246	
0.006	0.076964	
0.007	0.076964	
0.008	0.0768041	
0.009	0.0768038	
0.010	0.0767289	
0.011	0.0766646	
0.012	0.0766646	
0.013	0.0777864	
0.014	0.0777864	
0.015	0.0787281	
0.016	0.0787281	
0.017	0.0795608	
0.018	0.0795608	
0.019	0.0801237	
0.020	0.0801237	
0.021	0.0815393	
0.022	0.0815393	
0.023	0.0814046	
0.024	0.0814046	
0.025	0.0820776	
0.026	0.0820776	
0.027	0.082677	
0.028	0.082677	
0.029	0.0827208	
0.030	0.0827208	
0.031	0.082871	
0.032	0.082871	
0.033	0.0825069	
0.034	0.0825069	
0.035	0.0818802	
0.036	0.0818802	
0.037	0.080885	
0.038	0.080885	
0.039	0.0800689	
0.040	0.0800689	
0.041	0.0800144	
0.042	0.0800144	
0.043	0.0785783	
0.044	0.0787541	
0.045	0.0787541	
0.046	0.0777632	
0.047	0.0777632	
0.048	0.0781274	
0.049	0.0781274	
0.050	0.078468	
0.051	0.078468	
0.052	0.0789995	
0.053	0.0791265	
0.054	0.0796011	
0.055	0.079892	
0.056	0.0801341	
0.057	0.0801341	
0.058	0.0800962	
0.059	0.0800962	
0.060	0.0810751	
0.061	0.0816078	
0.062	0.0816078	
0.063	0.0816078	
0.064	0.0820038	
0.065	0.0820038	
0.066	0.0823204	
0.067	0.0823204	
0.068	0.082564	
0.069	0.082564	
0.070	0.0828986	
0.071	0.0828986	
0.072	0.0828923	
0.073	0.0828923	
0.074	0.0827696	
0.075	0.0827696	
0.076	0.0821509	
0.077	0.0813107	
0.078	0.0807854	
0.079	0.0807854	
0.080	0.079786	
0.081	0.079786	
0.082	0.0791016	
0.083	0.0788823	
0.084	0.0782208	
0.085	0.078151	
0.086	0.0777259	
0.087	0.0770311	
0.088	0.076781	
0.089	0.0766546	
0.090	0.0762099	
0.091	0.0762099	
0.092	0.0759659	
0.093	0.0761043	
0.094	0.0761291	
0.095	0.0767768	
0.096	0.0770676	
0.097	0.0774168	
0.098	0.077497	
0.099	0.0780016	
0.100	0.078602	
0.101	0.0792882	
0.102	0.0787752	
0.103	0.0790384	
0.104	0.0793521	
0.105	0.0795487	
0.106	0.0799812	
0.107	0.0803177	
0.108	0.0808011	
0.109	0.0813486	
0.110	0.0812156	
0.111	0.0814503	
0.112	0.0816311	
0.113	0.0816111	
0.114	0.0814169	
0.115	0.081496	
0.116	0.0810687	
0.117	0.0812372	
0.118	0.0806274	
0.119	0.0807197	
0.120	0.0803302	
0.121	0.0799888	
0.122	0.0795088	
0.123	0.0785152	
0.124	0.077767	
0.125	0.0778994	
0.126	0.0770806	
0.127	0.0767846	
0.128	0.0769537	
0.129	0.0763629	
0.130	0.0761881	
0.131	0.0759155	
0.132	0.0761238	
0.133	0.0762322	
0.134	0.0765258	
0.135	0.0768183	
0.136	0.0764811	
0.137	0.0768715	
0.138	0.0769295	
0.139	0.0771045	
0.140	0.0778921	
0.141	0.0782327	
0.142	0.0789153	
0.143	0.0795019	
0.144	0.0798523	
0.145	0.0799992	
0.146	0.0802172	
0.147	0.0802752	
0.148	0.0804182	
0.149	0.0803725	
0.150	0.0806846	
0.151	0.0806728	
0.152	0.0807948	
0.153	0.0807881	
0.154	0.0807917	
0.155	0.0809682	
0.156	0.0809682	
0.157	0.080718	
0.158	0.0801245	
0.159	0.0794958	
0.160	0.0793509	
0.161	0.0781392	
0.162	0.0781392	
0.163	0.0770932	
0.164	0.0770932	
0.165	0.0767349	
0.166	0.0767349	
0.167	0.0760801	
0.168	0.0760801	
0.169	0.0750897	
0.170	0.0750897	
0.171	0.0744917	
0.172	0.0744917	
0.173	0.0739565	
0.174	0.0739565	
0.175	0.0747019	
0.176	0.0747019	
0.177	0.074845	
0.178	0.074845	
0.179	0.0757895	
0.180	0.0757895	
0.181	0.0763663	
0.182	0.0763663	
0.183	0.0778167	
0.184	0.0778167	
0.185	0.0787313	
0.186	0.0787313	
0.187	0.079691	
0.188	0.079691	
0.189	0.0809842	
0.190	0.0809842	
0.191	0.0816759	
0.192	0.0816759	
0.193	0.0820641	
0.194	0.0820641	
0.195	0.0826173	
0.196	0.0826173	
0.197	0.0829062	
0.198	0.0829062	
0.199	0.0832468	
0.200	0.0832468	
0.201	0.0827799	
0.202	0.0827799	
0.203	0.0821332	
0.204	0.0821332	
0.205	0.0821332	
0.206	0.0815927	
0.207	0.0815927	
0.208	0.0804407	
0.209	0.0805652	
0.210	0.0805652	
0.211	0.0804257	
0.212	0.0803546	
0.213	0.0803546	
0.214	0.0800603	
0.215	0.0800603	
0.216	0.0794931	
0.217	0.0794931	
0.218	0.0797002	
0.219	0.0797729	
0.220	0.0797729	
0.221	0.079899	
0.222	0.079899	
0.223	0.0810289	
0.224	0.0811829	
0.225	0.081535	
0.226	0.0816404	
0.227	0.0823592	
0.228	0.0820417	
0.229	0.0820417	
0.230	0.082523	
0.231	0.0826241	
0.232	0.0828484	
0.233	0.0833677	
0.234	0.0837044	
0.235	0.0836332	
0.236	0.0834706	
0.237	0.083955	
0.238	0.0833069	
0.239	0.0834273	
0.240	0.0832293	
0.241	0.0828356	
0.242	0.082497	
0.243	0.081772	
0.244	0.0811343	
0.245	0.0815474	
0.246	0.0809255	
0.247	0.0807454	
0.248	0.0794731	
0.249	0.0791641	
0.250	0.0791641	
0.251	0.0781797	
0.252	0.0769283	
0.253	0.0770695	
0.254	0.0771536	
0.255	0.0768053	
0.256	0.0767908	
0.257	0.0766003	
0.258	0.0763485	
0.259	0.0766575	
0.260	0.076626	
0.261	0.0766759	
0.262	0.0764585	
0.263	0.0764585	
0.264	0.0770466	
0.265	0.0770466	
0.266	0.0781261	
0.267	0.0781261	
0.268	0.0790652	
0.269	0.0790652	
0.270	0.0796703	
0.271	0.0796703	
0.272	0.080186	
0.273	0.080186	
0.274	0.0808771	
0.275	0.0808771	
0.276	0.0809439	
0.277	0.0809439	
0.278	0.081519	
0.279	0.081519	
0.280	0.0822736	
0.281	0.0822736	
0.282	0.0822186	
0.283	0.0822186	
0.284	0.0820392	
0.285	0.0820392	
0.286	0.0813394	
0.287	0.0811601	
0.288	0.0811601	
0.289	0.0803326	
0.290	0.0803326	
0.291	0.0797694	
0.292	0.0797694	
0.293	0.0782301	
0.294	0.0782301	
0.295	0.0779671	
0.296	0.0779671	
0.297	0.0774209	
0.298	0.0774209	
0.299	0.0775733	
0.300	0.0775733	
0.301	0.077474	
0.302	0.077474	
0.303	0.0777841	
0.304	0.0782782	
0.305	0.0787693	
0.306	0.0787693	
0.307	0.0786144	
0.308	0.0786144	
0.309	0.0791176	
0.310	0.0791176	
0.311	0.0796356	
0.312	0.0799378	
0.313	0.0799378	
0.314	0.080936	
0.315	0.080936	
0.316	0.0812705	
0.317	0.0812705	
0.318	0.0812194	
0.319	0.0812194	
0.320	0.0815919	
0.321	0.0815919	
0.322	0.081923	
0.323	0.081923	
0.324	0.0817637	
0.325	0.0817637	
0.326	0.0815943	
0.327	0.0815943	
0.328	0.0815943	
0.329	0.0803686	
0.330	0.0803686	
0.331	0.0796377	
0.332	0.0787407	
0.333	0.0783966	
0.334	0.078241	
0.335	0.0780325	
0.336	0.0776427	
0.337	0.0773481	
0.338	0.0771575	
0.339	0.0768435	
0.340	0.0763785	
0.341	0.076417	
0.342	0.0761388	
0.343	0.0762562	
0.344	0.0761147	
0.345	0.0763088	
0.346	0.0763088	
0.347	0.076914	
0.348	0.0774684	
0.349	0.0774684	
0.350	0.0781988	
0.351	0.0781889	
0.352	0.0787345	
0.353	0.0788267	
0.354	0.0788267	
0.355	0.0793328	
0.356	0.0798703	
0.357	0.0803162	
0.358	0.0803162	
0.359	0.0815345	
0.360	0.0817206	
0.361	0.0814689	
0.362	0.0820591	
0.363	0.0817857	
0.364	0.0817322	
0.365	0.0822836	
0.366	0.0819511	
0.367	0.081629	
0.368	0.0818879	
0.369	0.0817391	
0.370	0.0820901	
0.371	0.0815943	
0.372	0.0808747	
0.373	0.0809492	
0.374	0.0807259	
0.375	0.0799351	
0.376	0.0791439	
0.377	0.0786773	
0.378	0.0781202	
0.379	0.0783858	
0.380	0.0777383	
0.381	0.0775309	
0.382	0.0773691	
0.383	0.0771921	
0.384	0.076805	
0.385	0.0770633	
0.386	0.0773541	
0.387	0.0766923	
0.388	0.0768062	
0.389	0.0771418	
0.390	0.0770772	
0.391	0.0775471	
0.392	0.0781913	
0.393	0.0787034	
0.394	0.0789896	
0.395	0.0793444	
0.396	0.0796777	
0.397	0.0804332	
0.398	0.0803042	
0.399	0.0805403	
0.400	0.0802943	
0.401	0.0806416	
0.402	0.0805768	
0.403	0.0808185	
0.404	0.0810192	
0.405	0.0811789	
0.406	0.0813123	
0.407	0.0811831	
0.408	0.0813581	
0.409	0.0809217	
0.410	0.0804681	
0.411	0.080254	
0.412	0.0796618	
0.413	0.0792582	
0.414	0.0789636	
0.415	0.0787146	
0.416	0.0783804	
0.417	0.077785	
0.418	0.0779744	
0.419	0.0769322	
0.420	0.0763189	
0.421	0.0766067	
0.422	0.0761087	
0.423	0.0756788	
0.424	0.0754046	
0.425	0.0752671	
0.426	0.0752896	
0.427	0.0754564	
0.428	0.0756843	
0.429	0.0756889	
0.430	0.0762682	
0.431	0.0764805	
0.432	0.0765577	
0.433	0.0770108	
0.434	0.0777141	
0.435	0.0776327	
0.436	0.078311	
0.437	0.0788814	
0.438	0.0799467	
0.439	0.079696	
0.440	0.0799087	
0.441	0.0810157	
0.442	0.081388	
0.443	0.081396	
0.444	0.0816149	
0.445	0.0814784	
0.446	0.0817828	
0.447	0.0824935	
0.448	0.0826147	
0.449	0.0824843	
0.450	0.0829985	
0.451	0.0832923	
0.452	0.082884	
0.453	0.0829682	
0.454	0.0827802	
0.455	0.0820017	
0.456	0.0818046	
0.457	0.0813336	
0.458	0.0806407	
0.459	0.0803731	
0.460	0.0800918	
0.461	0.0796351	
0.462	0.0795333	
0.463	0.0793628	
0.464	0.0793004	
0.465	0.0789932	
0.466	0.0788619	
0.467	0.0787971	
0.468	0.0785148	
0.469	0.0788032	
0.470	0.07877	
0.471	0.0788013	
0.472	0.0791144	
0.473	0.0794076	
0.474	0.0796468	
0.475	0.0802483	
0.476	0.0804747	
0.477	0.0806851	
0.478	0.0810457	
0.479	0.0810711	
0.480	0.0814642	
0.481	0.0814506	
0.482	0.0816433	
0.483	0.0822594	
0.484	0.082784	
0.485	0.0828281	
0.486	0.0831482	
0.487	0.0834014	
0.488	0.0831194	
0.489	0.0832732	
0.490	0.0834491	
0.491	0.0832367	
0.492	0.0829895	
0.493	0.0828873	
0.494	0.0821127	
0.495	0.0820762	
0.496	0.0814733	
0.497	0.0809487	
0.498	0.0807308	
0.499	0.0800911	
0.500	0.079447	
0.501	0.0789198	
0.502	0.0781805	
0.503	0.0774887	
0.504	0.0767828	
0.505	0.0768426	
0.506	0.0768048	
0.507	0.0770376	
0.508	0.0767685	
0.509	0.0765959	
0.510	0.0762749	
0.511	0.0766968	
0.512	0.0764836	
0.513	0.0764297	
0.514	0.0764814	
0.515	0.0769332	
0.516	0.0773232	
0.517	0.0778265	
0.518	0.078201	
0.519	0.0788267	
0.520	0.0791309	
0.521	0.0794139	
0.522	0.0798987	
0.523	0.080099	
0.524	0.0803149	
0.525	0.0803382	
0.526	0.0804424	
0.527	0.0803634	
0.528	0.0809945	
0.529	0.0809945	
0.530	0.0815885	
0.531	0.0821879	
0.532	0.0824991	
0.533	0.0825257	
0.534	0.0822094	
0.535	0.0823164	
0.536	0.0817468	
0.537	0.0814906	
0.538	0.0812231	
0.539	0.0810804	
0.540	0.0804712	
0.541	0.0799144	
0.542	0.0793737	
0.543	0.079696	
0.544	0.079206	
0.545	0.079206	
0.546	0.0786532	
