Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.0804108	
0.001	0.0805204	
0.002	0.0798226	
0.003	0.0807108	
0.004	0.080213	
0.005	0.0797997	
0.006	0.0794142	
0.007	0.0788229	
0.008	0.0785271	
0.009	0.0785816	
0.010	0.0785816	
0.011	0.0779004	
0.012	0.0783244	
0.013	0.0789636	
0.014	0.079161	
0.015	0.078651	
0.016	0.0794978	
0.017	0.0794943	
0.018	0.0793162	
0.019	0.0793579	
0.020	0.0792965	
0.021	0.0793644	
0.022	0.0794379	
0.023	0.0797269	
0.024	0.0804596	
0.025	0.0807676	
0.026	0.0808899	
0.027	0.0808899	
0.028	0.080694	
0.029	0.0808712	
0.030	0.0806718	
0.031	0.0809453	
0.032	0.0812231	
0.033	0.0806461	
0.034	0.0802717	
0.035	0.0801113	
0.036	0.0808131	
0.037	0.0804145	
0.038	0.0803956	
0.039	0.0802121	
0.040	0.0801809	
0.041	0.0797786	
0.042	0.0799248	
0.043	0.0797007	
0.044	0.0795311	
0.045	0.0799456	
0.046	0.0796828	
0.047	0.0793092	
0.048	0.0788724	
0.049	0.0793075	
0.050	0.0791274	
0.051	0.0793075	
0.052	0.0791111	
0.053	0.0790558	
0.054	0.0790336	
0.055	0.0795906	
0.056	0.0796799	
0.057	0.0795155	
0.058	0.079946	
0.059	0.0801041	
0.060	0.0802933	
0.061	0.0804268	
0.062	0.080336	
0.063	0.080785	
0.064	0.0807554	
0.065	0.0808963	
0.066	0.0811718	
0.067	0.0809991	
0.068	0.0808783	
0.069	0.0809637	
0.070	0.0807171	
0.071	0.0813037	
0.072	0.0812434	
0.073	0.0812374	
0.074	0.0808939	
0.075	0.0807048	
0.076	0.0803029	
0.077	0.0804791	
0.078	0.0806592	
0.079	0.0808055	
0.080	0.080507	
0.081	0.0811867	
0.082	0.0814322	
0.083	0.0815662	
0.084	0.081498	
0.085	0.0811225	
0.086	0.0811528	
0.087	0.0807011	
0.088	0.0802085	
0.089	0.0800691	
0.090	0.0794507	
0.091	0.0792157	
0.092	0.0790134	
0.093	0.0790346	
0.094	0.0793692	
0.095	0.0796445	
0.096	0.0791569	
0.097	0.0795028	
0.098	0.0794509	
0.099	0.0792939	
0.100	0.0787332	
0.101	0.0790021	
0.102	0.0787803	
0.103	0.0792607	
0.104	0.0793442	
0.105	0.0800349	
0.106	0.0799646	
0.107	0.0802611	
0.108	0.0805516	
0.109	0.0804437	
0.110	0.080366	
0.111	0.0798239	
0.112	0.0803738	
0.113	0.0798531	
0.114	0.0797983	
0.115	0.0806166	
0.116	0.0806166	
0.117	0.0803024	
0.118	0.0805835	
0.119	0.0798349	
0.120	0.0799991	
0.121	0.0792382	
0.122	0.0790758	
0.123	0.0788616	
0.124	0.0787899	
0.125	0.0790211	
0.126	0.0788745	
0.127	0.0785394	
0.128	0.0780395	
0.129	0.0780939	
0.130	0.0782264	
0.131	0.0783898	
0.132	0.077913	
0.133	0.0774613	
0.134	0.0768266	
0.135	0.076897	
0.136	0.0769266	
0.137	0.0771689	
0.138	0.0774452	
0.139	0.0774236	
0.140	0.0780702	
0.141	0.0782208	
0.142	0.0780985	
0.143	0.0778397	
0.144	0.077582	
0.145	0.0776862	
0.146	0.0776862	
0.147	0.0777776	
0.148	0.0778124	
0.149	0.0783156	
0.150	0.0784776	
0.151	0.0784567	
0.152	0.0788715	
0.153	0.0787315	
0.154	0.079126	
0.155	0.0791051	
0.156	0.0796419	
0.157	0.0796419	
0.158	0.0791985	
0.159	0.0790764	
0.160	0.0793166	
0.161	0.0793166	
0.162	0.079766	
0.163	0.0799784	
0.164	0.0803862	
0.165	0.080276	
0.166	0.080276	
0.167	0.079972	
0.168	0.0798623	
0.169	0.0793359	
0.170	0.0797859	
0.171	0.0792667	
0.172	0.0791541	
0.173	0.0795464	
0.174	0.0792693	
0.175	0.0792348	
0.176	0.0788235	
0.177	0.0788605	
0.178	0.0788115	
0.179	0.0789154	
0.180	0.0783589	
0.181	0.0784317	
0.182	0.0788772	
0.183	0.0786824	
0.184	0.0787951	
0.185	0.0788975	
0.186	0.0791489	
0.187	0.0795725	
0.188	0.0795484	
0.189	0.0790587	
0.190	0.079093	
0.191	0.0792173	
0.192	0.079361	
0.193	0.0796869	
0.194	0.0796769	
0.195	0.0798078	
0.196	0.0800037	
0.197	0.0801208	
0.198	0.0804193	
0.199	0.0803152	
0.200	0.080557	
0.201	0.0802253	
0.202	0.0799021	
0.203	0.0796441	
0.204	0.0794543	
0.205	0.0793229	
0.206	0.0794522	
0.207	0.0792585	
0.208	0.0796522	
0.209	0.0792577	
0.210	0.0798009	
0.211	0.0795848	
0.212	0.079622	
0.213	0.0792961	
0.214	0.0792961	
0.215	0.0790282	
0.216	0.0790753	
0.217	0.078916	
0.218	0.0792039	
0.219	0.0790596	
0.220	0.079449	
0.221	0.0796288	
0.222	0.0800339	
0.223	0.0799328	
0.224	0.0800728	
0.225	0.0802828	
0.226	0.0801193	
0.227	0.0800839	
0.228	0.0800052	
0.229	0.0801344	
0.230	0.0803334	
0.231	0.0809294	
0.232	0.0812089	
0.233	0.0812165	
0.234	0.080722	
0.235	0.0804332	
0.236	0.0803875	
0.237	0.0803875	
0.238	0.0806796	
0.239	0.0803887	
0.240	0.0806982	
0.241	0.0807887	
0.242	0.0807887	
0.243	0.08063	
0.244	0.080456	
0.245	0.081388	
0.246	0.0808726	
0.247	0.0800372	
0.248	0.0803426	
0.249	0.0802068	
0.250	0.079927	
0.251	0.0797805	
0.252	0.0801096	
0.253	0.0801096	
0.254	0.0797437	
0.255	0.0795735	
0.256	0.0793352	
0.257	0.0790574	
0.258	0.0790574	
0.259	0.0780147	
0.260	0.0781178	
0.261	0.0784369	
0.262	0.0780653	
0.263	0.0784381	
0.264	0.0787565	
0.265	0.0786415	
0.266	0.0786415	
0.267	0.07864	
0.268	0.0785592	
0.269	0.0787507	
0.270	0.0784331	
0.271	0.0787633	
0.272	0.0785647	
0.273	0.0783331	
0.274	0.0790423	
0.275	0.0792751	
0.276	0.0796662	
0.277	0.0795775	
0.278	0.0795012	
0.279	0.0799329	
0.280	0.0799194	
0.281	0.0798772	
0.282	0.0798473	
0.283	0.0801277	
0.284	0.080116	
0.285	0.0800125	
0.286	0.0800906	
0.287	0.0799015	
0.288	0.0798613	
0.289	0.079487	
0.290	0.0796915	
0.291	0.0799091	
0.292	0.0798479	
0.293	0.0796746	
0.294	0.0798861	
0.295	0.0798671	
0.296	0.0795486	
0.297	0.0793845	
0.298	0.0796482	
0.299	0.0790913	
0.300	0.0792481	
0.301	0.0790259	
0.302	0.0793191	
0.303	0.078747	
0.304	0.0783055	
0.305	0.0780973	
0.306	0.0784334	
0.307	0.0788828	
0.308	0.0788477	
0.309	0.0788213	
0.310	0.0789983	
0.311	0.0791618	
0.312	0.0793648	
0.313	0.0793674	
0.314	0.0796718	
0.315	0.0798742	
0.316	0.0796693	
0.317	0.0798331	
0.318	0.0796373	
0.319	0.0799298	
0.320	0.0800112	
0.321	0.0799112	
0.322	0.0800382	
0.323	0.0801563	
0.324	0.0802703	
0.325	0.0806255	
0.326	0.0803431	
0.327	0.0805824	
0.328	0.0803539	
0.329	0.0804637	
0.330	0.0806331	
0.331	0.0805279	
0.332	0.080428	
0.333	0.0806371	
0.334	0.0807679	
0.335	0.0808406	
0.336	0.0810359	
0.337	0.0813235	
0.338	0.0809756	
0.339	0.0806094	
0.340	0.0804465	
0.341	0.0804828	
0.342	0.0803187	
0.343	0.0800502	
0.344	0.0797848	
0.345	0.0795848	
0.346	0.0798457	
0.347	0.0799352	
0.348	0.0796282	
0.349	0.0795632	
0.350	0.0794073	
0.351	0.0790362	
0.352	0.0791653	
0.353	0.0791819	
0.354	0.0793793	
0.355	0.0790903	
0.356	0.0788587	
0.357	0.0793252	
0.358	0.0796198	
0.359	0.0794057	
0.360	0.0796413	
0.361	0.0793969	
0.362	0.0792642	
0.363	0.0792642	
0.364	0.0793079	
0.365	0.0791412	
0.366	0.0794799	
0.367	0.079403	
0.368	0.0792558	
0.369	0.0792168	
0.370	0.0795788	
0.371	0.079124	
0.372	0.0784054	
0.373	0.0781107	
0.374	0.0784125	
0.375	0.0785119	
0.376	0.0790178	
0.377	0.0790592	
0.378	0.0785376	
0.379	0.079244	
0.380	0.079244	
0.381	0.0795017	
0.382	0.0790226	
0.383	0.0790476	
0.384	0.0786703	
0.385	0.0786943	
0.386	0.0786943	
0.387	0.0778074	
0.388	0.0778074	
0.389	0.0785744	
0.390	0.0785744	
0.391	0.0784451	
0.392	0.0784451	
0.393	0.0785593	
0.394	0.0785593	
0.395	0.0787769	
0.396	0.0787769	
0.397	0.0785841	
0.398	0.0785841	
0.399	0.0785731	
0.400	0.0785731	
0.401	0.0793713	
0.402	0.0796269	
0.403	0.0798295	
0.404	0.0802608	
0.405	0.0802013	
0.406	0.0801539	
0.407	0.0802142	
0.408	0.0800059	
0.409	0.0799076	
0.410	0.0795705	
0.411	0.0794307	
0.412	0.0797955	
0.413	0.0799613	
0.414	0.0802018	
0.415	0.0802093	
0.416	0.0802093	
0.417	0.0800958	
0.418	0.07982	
0.419	0.079806	
0.420	0.0798006	
0.421	0.0798211	
0.422	0.0796119	
0.423	0.0796398	
0.424	0.079725	
0.425	0.0795918	
0.426	0.0794805	
0.427	0.0794805	
0.428	0.0794661	
0.429	0.0789294	
0.430	0.0789656	
0.431	0.0788951	
0.432	0.0787519	
0.433	0.0788404	
0.434	0.0795064	
0.435	0.0793665	
0.436	0.0796034	
0.437	0.0796632	
0.438	0.0797794	
0.439	0.0797657	
0.440	0.0793086	
0.441	0.0792365	
0.442	0.0797008	
0.443	0.0799427	
0.444	0.0800032	
0.445	0.0800032	
0.446	0.0800413	
0.447	0.0804018	
0.448	0.0809455	
0.449	0.0806002	
0.450	0.0806002	
0.451	0.080392	
0.452	0.0805072	
0.453	0.0801396	
0.454	0.0800965	
0.455	0.0800965	
0.456	0.0796359	
0.457	0.0796359	
0.458	0.079844	
0.459	0.0793729	
0.460	0.0793729	
0.461	0.0796718	
0.462	0.0797176	
0.463	0.0798103	
0.464	0.0798007	
0.465	0.0792847	
0.466	0.0794818	
0.467	0.079134	
0.468	0.0789963	
0.469	0.0790297	
0.470	0.0794249	
0.471	0.0795415	
0.472	0.0799193	
0.473	0.0803458	
0.474	0.0799978	
0.475	0.0798205	
0.476	0.0802175	
0.477	0.0801603	
0.478	0.079903	
0.479	0.0801714	
0.480	0.0797541	
0.481	0.0802007	
0.482	0.0803546	
0.483	0.0803554	
0.484	0.0805477	
0.485	0.0810258	
0.486	0.0808272	
0.487	0.0806945	
0.488	0.0805045	
0.489	0.0807872	
0.490	0.0803568	
0.491	0.0810893	
0.492	0.081228	
0.493	0.0812734	
0.494	0.0816151	
0.495	0.0820673	
0.496	0.0814775	
0.497	0.0819217	
0.498	0.0819771	
0.499	0.0814461	
0.500	0.0817743	
0.501	0.0809077	
0.502	0.0811374	
0.503	0.081213	
0.504	0.0813015	
0.505	0.0812258	
0.506	0.0811408	
0.507	0.0809648	
0.508	0.0795687	
0.509	0.0796648	
0.510	0.0789613	
0.511	0.0789613	
0.512	0.0795029	
0.513	0.0793654	
0.514	0.0792407	
