Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.0379394	
0.001	0.0379136	
0.002	0.0373522	
0.003	0.0373034	
0.004	0.0370515	
0.005	0.0364745	
0.006	0.035817	
0.007	0.0359424	
0.008	0.0358903	
0.009	0.0356882	
0.010	0.035393	
0.011	0.0348825	
0.012	0.0345024	
0.013	0.034211	
0.014	0.0343107	
0.015	0.0346306	
0.016	0.0348246	
0.017	0.0348486	
0.018	0.0347792	
0.019	0.0354593	
0.020	0.0354067	
0.021	0.0358152	
0.022	0.0358453	
0.023	0.0359848	
0.024	0.0360867	
0.025	0.0366381	
0.026	0.0368514	
0.027	0.0370672	
0.028	0.0376964	
0.029	0.0376964	
0.030	0.0380109	
0.031	0.038234	
0.032	0.0387457	
0.033	0.0392161	
0.034	0.0399302	
0.035	0.0402996	
0.036	0.0406604	
0.037	0.0413237	
0.038	0.0418485	
0.039	0.0426241	
0.040	0.0427185	
0.041	0.0432316	
0.042	0.0433804	
0.043	0.0436595	
0.044	0.0444962	
0.045	0.0449111	
0.046	0.0449111	
0.047	0.0449111	
0.048	0.0453807	
0.049	0.0454079	
0.050	0.0456257	
0.051	0.0453732	
0.052	0.0456121	
0.053	0.0458925	
0.054	0.0459564	
0.055	0.0461261	
0.056	0.0465715	
0.057	0.0465222	
0.058	0.046542	
0.059	0.046817	
0.060	0.0465351	
0.061	0.0464929	
0.062	0.0464017	
0.063	0.046182	
0.064	0.0459057	
0.065	0.0459211	
0.066	0.0459267	
0.067	0.0450566	
0.068	0.0444609	
0.069	0.0444609	
0.070	0.0439282	
0.071	0.0439282	
0.072	0.0432653	
0.073	0.0432653	
0.074	0.0426533	
0.075	0.0426533	
0.076	0.0415315	
0.077	0.0415315	
0.078	0.0404537	
0.079	0.0397749	
0.080	0.0392426	
0.081	0.0392523	
0.082	0.0391773	
0.083	0.0384486	
0.084	0.0383014	
0.085	0.0379192	
0.086	0.0376952	
0.087	0.0375361	
0.088	0.0373218	
0.089	0.0369905	
0.090	0.0368648	
0.091	0.0363578	
0.092	0.0361377	
0.093	0.0358574	
0.094	0.0356811	
0.095	0.0353829	
0.096	0.0354383	
0.097	0.0354746	
0.098	0.0354148	
0.099	0.035816	
0.100	0.0356293	
0.101	0.0357325	
0.102	0.0360217	
0.103	0.0363553	
0.104	0.0363899	
0.105	0.036599	
0.106	0.0366888	
0.107	0.036692	
0.108	0.0369695	
0.109	0.036994	
0.110	0.0369691	
0.111	0.0373647	
0.112	0.038055	
0.113	0.0385436	
0.114	0.0389901	
0.115	0.0395637	
0.116	0.0402942	
0.117	0.0404295	
0.118	0.041083	
0.119	0.0412975	
0.120	0.0415618	
0.121	0.041789	
0.122	0.0424639	
0.123	0.0423027	
0.124	0.0426371	
0.125	0.0428658	
0.126	0.0432119	
0.127	0.043483	
0.128	0.0436917	
0.129	0.0443262	
0.130	0.044258	
0.131	0.044571	
0.132	0.0445375	
0.133	0.0448246	
0.134	0.0450724	
0.135	0.0449338	
0.136	0.0450217	
0.137	0.0451333	
0.138	0.04524	
0.139	0.0453065	
0.140	0.0452886	
0.141	0.0454587	
0.142	0.0457381	
0.143	0.0454472	
0.144	0.0453682	
0.145	0.0454411	
0.146	0.045331	
0.147	0.0449855	
0.148	0.0441714	
0.149	0.044306	
0.150	0.043899	
0.151	0.0433566	
0.152	0.0428064	
0.153	0.0427309	
0.154	0.0422973	
0.155	0.0417683	
0.156	0.0412755	
0.157	0.040708	
0.158	0.040708	
0.159	0.0402014	
0.160	0.0395052	
0.161	0.0389178	
0.162	0.0389178	
0.163	0.0387341	
0.164	0.0383625	
0.165	0.0382129	
0.166	0.0379154	
0.167	0.0372778	
0.168	0.037035	
0.169	0.0370459	
0.170	0.0366634	
0.171	0.0363879	
0.172	0.0359034	
0.173	0.0356269	
0.174	0.0350318	
0.175	0.034564	
0.176	0.0341769	
0.177	0.033783	
0.178	0.033783	
0.179	0.0340156	
0.180	0.0339106	
0.181	0.0340374	
0.182	0.0340593	
0.183	0.0340593	
0.184	0.0344747	
0.185	0.0347777	
0.186	0.0352805	
0.187	0.0352805	
0.188	0.0358949	
0.189	0.0362635	
0.190	0.0366494	
0.191	0.0367389	
0.192	0.0367389	
0.193	0.0375144	
0.194	0.0382204	
0.195	0.0382204	
0.196	0.0392423	
0.197	0.0398332	
0.198	0.0402223	
0.199	0.0407385	
0.200	0.0409376	
0.201	0.0412268	
0.202	0.0416098	
0.203	0.0420565	
0.204	0.0417573	
0.205	0.0420881	
0.206	0.0422613	
0.207	0.0425719	
0.208	0.042752	
0.209	0.0428127	
0.210	0.0432369	
0.211	0.0435109	
0.212	0.0435079	
0.213	0.0437858	
