Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.0192642	
0.001	0.0191721	
0.002	0.0193204	
0.003	0.0198191	
0.004	0.0202397	
0.005	0.0203871	
0.006	0.0203544	
0.007	0.0200137	
0.008	0.0199084	
0.009	0.0201814	
0.010	0.020366	
0.011	0.020366	
0.012	0.0203461	
0.013	0.0201324	
0.014	0.0197513	
0.015	0.019306	
0.016	0.0190546	
0.017	0.0189832	
0.018	0.0191919	
0.019	0.0194239	
0.020	0.0193824	
0.021	0.01945	
0.022	0.0193502	
0.023	0.0192399	
0.024	0.0190366	
0.025	0.0188734	
0.026	0.0188179	
0.027	0.0187207	
0.028	0.018879	
0.029	0.0189755	
0.030	0.0189302	
0.031	0.0189922	
0.032	0.0187445	
0.033	0.0185943	
0.034	0.0186639	
0.035	0.0186722	
0.036	0.018785	
0.037	0.018809	
0.038	0.0188871	
0.039	0.0188266	
0.040	0.0188042	
0.041	0.0186016	
0.042	0.0186856	
0.043	0.0188555	
0.044	0.0189327	
0.045	0.0189273	
0.046	0.0189786	
0.047	0.018768	
0.048	0.0187435	
0.049	0.0184034	
0.050	0.0181898	
0.051	0.0181021	
0.052	0.0181682	
0.053	0.0181524	
0.054	0.0184931	
0.055	0.0182618	
0.056	0.0182562	
0.057	0.0180841	
0.058	0.0177531	
0.059	0.0177954	
0.060	0.0181389	
0.061	0.0180038	
0.062	0.0177045	
0.063	0.0178289	
0.064	0.0175025	
0.065	0.0175794	
0.066	0.0176309	
0.067	0.0176762	
0.068	0.0177226	
0.069	0.0175347	
0.070	0.0173877	
0.071	0.0176896	
0.072	0.0176547	
0.073	0.0179108	
0.074	0.0181073	
0.075	0.0179113	
0.076	0.0179045	
0.077	0.0177626	
0.078	0.0178297	
0.079	0.017833	
0.080	0.0175596	
0.081	0.0173541	
0.082	0.0173653	
0.083	0.01711	
0.084	0.0171152	
0.085	0.0172705	
0.086	0.0171136	
0.087	0.0173358	
0.088	0.0175388	
0.089	0.0175388	
0.090	0.0171719	
0.091	0.0170352	
0.092	0.0170248	
0.093	0.0170064	
0.094	0.0168397	
0.095	0.0172115	
0.096	0.0172548	
0.097	0.017534	
0.098	0.0176437	
0.099	0.0174975	
0.100	0.0173897	
0.101	0.0174081	
0.102	0.0176743	
0.103	0.0178593	
0.104	0.0179428	
0.105	0.0180525	
0.106	0.0181039	
0.107	0.0178244	
0.108	0.0177491	
0.109	0.0175674	
0.110	0.0175779	
0.111	0.0176596	
0.112	0.0178653	
0.113	0.0180309	
0.114	0.0186034	
0.115	0.0188554	
0.116	0.0190284	
0.117	0.0192757	
0.118	0.0192208	
0.119	0.0192647	
0.120	0.0191995	
0.121	0.0192843	
0.122	0.0191262	
0.123	0.0191772	
0.124	0.0193701	
0.125	0.0196694	
0.126	0.0197515	
0.127	0.0198093	
0.128	0.0198871	
0.129	0.0199062	
0.130	0.0201041	
0.131	0.0201074	
0.132	0.0205692	
0.133	0.020574	
0.134	0.0203485	
0.135	0.0200309	
0.136	0.0197393	
0.137	0.0198197	
0.138	0.0197295	
0.139	0.0200901	
0.140	0.020379	
0.141	0.020167	
0.142	0.0202862	
0.143	0.0203776	
0.144	0.0202339	
0.145	0.0204471	
0.146	0.0205297	
0.147	0.0205122	
0.148	0.0202784	
0.149	0.0203442	
0.150	0.0203321	
0.151	0.0204487	
0.152	0.0206474	
0.153	0.020789	
0.154	0.0205715	
0.155	0.0207833	
0.156	0.0208121	
0.157	0.0207504	
0.158	0.0204916	
0.159	0.0204181	
0.160	0.020395	
0.161	0.0208468	
0.162	0.0211752	
0.163	0.0211124	
0.164	0.0209149	
0.165	0.0205385	
0.166	0.0204519	
0.167	0.0207425	
0.168	0.021332	
0.169	0.0215235	
0.170	0.0211907	
0.171	0.0210023	
0.172	0.0205254	
0.173	0.0207131	
0.174	0.0209155	
0.175	0.0209664	
0.176	0.0209006	
0.177	0.020765	
0.178	0.0204647	
0.179	0.0203183	
0.180	0.0204162	
0.181	0.0204622	
0.182	0.0203264	
0.183	0.0202394	
0.184	0.0198957	
0.185	0.0196447	
0.186	0.0196939	
0.187	0.019774	
0.188	0.0199111	
0.189	0.0200828	
0.190	0.0200416	
0.191	0.0200148	
0.192	0.0201831	
0.193	0.0201559	
0.194	0.0202317	
0.195	0.0201248	
0.196	0.0200003	
0.197	0.0198762	
0.198	0.0195823	
0.199	0.0194381	
0.200	0.0195359	
0.201	0.0195672	
0.202	0.0196343	
0.203	0.0198068	
0.204	0.0201969	
0.205	0.0201155	
0.206	0.0200597	
0.207	0.0201499	
0.208	0.020318	
0.209	0.0202003	
0.210	0.0199782	
0.211	0.020155	
0.212	0.0201382	
0.213	0.0199789	
0.214	0.0195208	
0.215	0.0194354	
0.216	0.0189811	
0.217	0.0189649	
0.218	0.0190796	
0.219	0.018932	
0.220	0.0188458	
0.221	0.0188912	
0.222	0.0188802	
0.223	0.0189042	
0.224	0.0189906	
0.225	0.019539	
0.226	0.019539	
0.227	0.0198934	
0.228	0.0199766	
0.229	0.0201631	
0.230	0.0201445	
0.231	0.0201699	
0.232	0.0201471	
0.233	0.0202794	
0.234	0.0202794	
0.235	0.0209993	
0.236	0.0213379	
0.237	0.0213379	
0.238	0.0214005	
0.239	0.0213061	
0.240	0.021655	
0.241	0.021655	
0.242	0.0219032	
0.243	0.0219032	
0.244	0.0216995	
0.245	0.0216995	
0.246	0.0218414	
0.247	0.0218829	
0.248	0.0218829	
0.249	0.0222398	
0.250	0.0220788	
0.251	0.0219123	
0.252	0.0219087	
0.253	0.0220628	
0.254	0.0220628	
0.255	0.0222147	
0.256	0.0219189	
0.257	0.0218853	
0.258	0.0218548	
0.259	0.0219547	
0.260	0.0220545	
0.261	0.0219894	
0.262	0.0216486	
0.263	0.0214305	
0.264	0.0214702	
0.265	0.0217996	
0.266	0.0223923	
0.267	0.0228366	
0.268	0.0228669	
0.269	0.0228745	
0.270	0.0227805	
0.271	0.0228023	
0.272	0.0230504	
0.273	0.0230504	
0.274	0.0232769	
0.275	0.0229813	
0.276	0.0230084	
0.277	0.0227929	
0.278	0.0227929	
0.279	0.0223072	
0.280	0.0219289	
0.281	0.0217723	
0.282	0.0215591	
0.283	0.0215557	
0.284	0.0215471	
0.285	0.0215644	
0.286	0.0216045	
0.287	0.0214355	
0.288	0.0213768	
0.289	0.0213768	
0.290	0.0211929	
0.291	0.0210159	
0.292	0.0208479	
0.293	0.020779	
0.294	0.0209074	
0.295	0.020822	
0.296	0.0207186	
0.297	0.0206216	
0.298	0.0204073	
0.299	0.020094	
0.300	0.019911	
0.301	0.0200223	
0.302	0.0199737	
0.303	0.0199435	
0.304	0.0198214	
0.305	0.0198988	
0.306	0.0202328	
0.307	0.0200538	
0.308	0.0197053	
0.309	0.0194716	
0.310	0.0192263	
0.311	0.0191872	
0.312	0.0192551	
0.313	0.0196346	
0.314	0.0197198	
0.315	0.0194445	
0.316	0.0192482	
0.317	0.0191846	
0.318	0.0185859	
0.319	0.0189976	
0.320	0.0193878	
0.321	0.0198235	
0.322	0.0200987	
0.323	0.0199831	
0.324	0.019566	
0.325	0.0194458	
0.326	0.0193255	
0.327	0.0193464	
0.328	0.0193867	
0.329	0.0195061	
0.330	0.0196	
0.331	0.0192632	
0.332	0.0190479	
0.333	0.0191045	
0.334	0.0191699	
0.335	0.0192492	
0.336	0.0191167	
0.337	0.0192158	
0.338	0.0191116	
0.339	0.0189866	
0.340	0.0185616	
0.341	0.0192355	
0.342	0.0196473	
0.343	0.0200337	
0.344	0.0196417	
0.345	0.0194389	
0.346	0.0192174	
0.347	0.0192047	
0.348	0.0192111	
0.349	0.0193077	
0.350	0.019239	
0.351	0.0189055	
0.352	0.0183898	
0.353	0.0179947	
0.354	0.0180385	
0.355	0.018465	
0.356	0.0186261	
0.357	0.0187974	
0.358	0.0187777	
0.359	0.0187497	
0.360	0.0188242	
0.361	0.0187862	
0.362	0.0184914	
0.363	0.0184335	
0.364	0.0180131	
0.365	0.0183869	
0.366	0.01833	
0.367	0.0184722	
0.368	0.0185078	
0.369	0.0186352	
0.370	0.0184966	
