Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.201466	
0.001	0.200816	
0.002	0.20084	
0.003	0.201187	
0.004	0.201791	
0.005	0.202394	
0.006	0.202135	
0.007	0.202135	
0.008	0.203161	
0.009	0.203161	
0.010	0.203037	
0.011	0.203287	
0.012	0.203469	
0.013	0.203725	
0.014	0.20351	
0.015	0.202818	
0.016	0.203174	
0.017	0.20346	
0.018	0.203091	
0.019	0.202663	
0.020	0.20276	
0.021	0.202977	
0.022	0.203454	
0.023	0.20342	
0.024	0.202731	
0.025	0.202731	
0.026	0.203126	
0.027	0.203126	
0.028	0.201439	
0.029	0.201439	
0.030	0.202273	
0.031	0.202273	
0.032	0.20058	
0.033	0.20058	
0.034	0.200109	
0.035	0.200109	
0.036	0.200344	
0.037	0.200188	
0.038	0.200188	
0.039	0.201122	
0.040	0.201122	
0.041	0.201226	
0.042	0.201226	
0.043	0.201226	
0.044	0.201561	
0.045	0.201561	
0.046	0.200961	
0.047	0.200961	
0.048	0.200957	
0.049	0.200957	
0.050	0.201678	
0.051	0.201082	
0.052	0.20122	
0.053	0.201642	
0.054	0.201945	
0.055	0.201627	
0.056	0.202296	
0.057	0.202499	
0.058	0.20334	
0.059	0.203393	
0.060	0.203393	
0.061	0.20312	
0.062	0.203503	
0.063	0.203503	
0.064	0.203016	
0.065	0.202696	
0.066	0.202952	
0.067	0.203224	
0.068	0.203594	
0.069	0.203065	
0.070	0.2026	
0.071	0.203074	
0.072	0.203978	
0.073	0.203774	
0.074	0.203069	
0.075	0.203018	
0.076	0.203689	
0.077	0.203741	
0.078	0.202862	
0.079	0.202862	
0.080	0.202169	
0.081	0.20263	
0.082	0.202005	
0.083	0.20104	
0.084	0.200564	
0.085	0.201435	
0.086	0.201001	
0.087	0.200936	
0.088	0.200367	
0.089	0.200744	
0.090	0.201221	
0.091	0.201069	
0.092	0.200641	
0.093	0.200631	
0.094	0.200861	
0.095	0.200861	
0.096	0.200474	
0.097	0.199785	
0.098	0.19961	
0.099	0.199584	
0.100	0.199527	
0.101	0.198729	
0.102	0.199263	
0.103	0.199911	
0.104	0.200914	
0.105	0.200514	
0.106	0.200465	
0.107	0.200809	
0.108	0.201316	
0.109	0.201476	
0.110	0.201393	
0.111	0.201694	
0.112	0.201763	
0.113	0.201904	
0.114	0.201711	
0.115	0.201096	
0.116	0.201179	
0.117	0.201313	
0.118	0.200902	
0.119	0.200365	
0.120	0.200287	
0.121	0.200833	
0.122	0.201495	
0.123	0.201093	
0.124	0.20008	
0.125	0.200702	
0.126	0.20084	
0.127	0.200405	
0.128	0.199424	
0.129	0.199378	
0.130	0.199139	
0.131	0.199457	
0.132	0.199003	
0.133	0.197907	
0.134	0.197419	
0.135	0.198045	
0.136	0.198189	
0.137	0.197822	
0.138	0.197528	
0.139	0.197871	
0.140	0.198664	
0.141	0.198647	
0.142	0.198293	
0.143	0.198398	
0.144	0.198927	
0.145	0.198861	
0.146	0.198501	
0.147	0.198464	
0.148	0.1982	
0.149	0.199071	
0.150	0.199307	
0.151	0.198619	
0.152	0.19861	
0.153	0.198751	
0.154	0.199352	
0.155	0.199761	
0.156	0.199709	
0.157	0.200456	
0.158	0.200755	
0.159	0.200826	
0.160	0.200826	
0.161	0.200641	
0.162	0.200806	
0.163	0.200898	
0.164	0.200908	
0.165	0.200512	
0.166	0.200602	
0.167	0.200963	
0.168	0.200985	
0.169	0.20047	
0.170	0.200095	
0.171	0.200536	
0.172	0.201053	
0.173	0.200705	
0.174	0.200194	
0.175	0.200101	
0.176	0.200634	
0.177	0.200696	
0.178	0.200147	
0.179	0.199469	
0.180	0.199501	
0.181	0.199907	
0.182	0.199147	
0.183	0.198504	
0.184	0.19832	
0.185	0.198601	
0.186	0.198518	
0.187	0.198666	
0.188	0.198137	
0.189	0.198503	
0.190	0.198844	
0.191	0.19908	
0.192	0.19881	
0.193	0.199052	
0.194	0.199251	
0.195	0.199578	
0.196	0.198919	
0.197	0.199021	
0.198	0.198853	
0.199	0.199143	
0.200	0.198821	
0.201	0.198246	
0.202	0.19859	
0.203	0.199263	
0.204	0.200099	
0.205	0.200041	
0.206	0.200041	
0.207	0.200008	
0.208	0.200308	
0.209	0.200552	
0.210	0.200596	
0.211	0.20085	
0.212	0.201152	
0.213	0.20055	
0.214	0.200907	
0.215	0.200463	
0.216	0.200463	
0.217	0.20044	
0.218	0.200011	
0.219	0.199417	
0.220	0.199505	
0.221	0.199917	
0.222	0.200216	
0.223	0.2003	
0.224	0.199523	
0.225	0.19918	
0.226	0.19952	
0.227	0.199672	
0.228	0.198803	
0.229	0.197998	
0.230	0.198447	
0.231	0.198223	
0.232	0.198555	
0.233	0.197433	
0.234	0.197272	
0.235	0.197737	
0.236	0.197633	
0.237	0.197673	
0.238	0.197417	
0.239	0.198203	
0.240	0.198677	
0.241	0.198838	
0.242	0.198849	
0.243	0.199295	
0.244	0.199504	
0.245	0.19932	
0.246	0.199091	
0.247	0.199192	
0.248	0.198826	
0.249	0.199391	
0.250	0.199558	
0.251	0.198839	
0.252	0.19902	
0.253	0.199136	
0.254	0.199753	
0.255	0.199907	
0.256	0.199896	
0.257	0.199896	
0.258	0.200432	
0.259	0.201129	
0.260	0.200838	
0.261	0.200598	
0.262	0.200989	
0.263	0.201033	
0.264	0.20055	
0.265	0.199886	
0.266	0.200424	
0.267	0.200688	
0.268	0.200802	
0.269	0.200503	
0.270	0.200061	
0.271	0.200852	
0.272	0.200954	
0.273	0.200826	
0.274	0.200474	
0.275	0.200492	
0.276	0.201162	
0.277	0.201497	
0.278	0.200888	
0.279	0.200248	
0.280	0.199802	
0.281	0.200052	
0.282	0.200137	
0.283	0.199163	
0.284	0.199072	
0.285	0.19865	
0.286	0.199171	
0.287	0.198979	
0.288	0.198637	
0.289	0.19891	
0.290	0.199339	
0.291	0.199316	
0.292	0.198904	
0.293	0.198649	
0.294	0.199078	
0.295	0.199399	
0.296	0.198683	
0.297	0.198186	
0.298	0.197964	
0.299	0.198477	
0.300	0.197898	
0.301	0.197898	
0.302	0.197676	
0.303	0.198918	
0.304	0.198918	
0.305	0.199661	
0.306	0.199661	
0.307	0.199801	
0.308	0.199801	
0.309	0.200644	
0.310	0.200644	
0.311	0.20117	
0.312	0.20117	
0.313	0.20143	
0.314	0.20143	
0.315	0.201264	
0.316	0.201264	
0.317	0.201384	
0.318	0.201402	
0.319	0.201402	
0.320	0.201219	
0.321	0.201219	
0.322	0.202431	
0.323	0.202431	
0.324	0.201392	
0.325	0.201392	
0.326	0.201712	
0.327	0.201712	
0.328	0.200808	
0.329	0.199817	
0.330	0.199817	
0.331	0.200261	
0.332	0.200261	
0.333	0.199179	
0.334	0.199179	
0.335	0.199427	
0.336	0.199427	
0.337	0.199429	
0.338	0.199227	
0.339	0.199863	
0.340	0.199863	
0.341	0.200478	
0.342	0.200478	
0.343	0.200365	
0.344	0.200365	
0.345	0.20086	
0.346	0.200395	
0.347	0.200395	
0.348	0.200503	
0.349	0.200503	
0.350	0.200152	
0.351	0.200025	
0.352	0.200025	
0.353	0.200134	
0.354	0.200879	
0.355	0.201191	
0.356	0.200899	
0.357	0.201234	
0.358	0.20151	
0.359	0.20151	
0.360	0.202141	
0.361	0.202293	
0.362	0.20219	
0.363	0.202012	
0.364	0.201682	
0.365	0.201477	
0.366	0.202022	
0.367	0.202356	
0.368	0.201889	
0.369	0.201391	
0.370	0.201363	
0.371	0.201803	
0.372	0.202127	
0.373	0.201297	
0.374	0.201378	
0.375	0.201408	
0.376	0.201802	
0.377	0.201802	
0.378	0.201244	
0.379	0.200631	
0.380	0.200504	
0.381	0.20031	
0.382	0.199538	
0.383	0.198897	
0.384	0.199041	
0.385	0.199431	
0.386	0.19951	
0.387	0.199101	
0.388	0.198884	
0.389	0.199228	
0.390	0.199521	
0.391	0.199447	
0.392	0.19932	
0.393	0.199234	
0.394	0.199441	
0.395	0.199473	
0.396	0.199026	
0.397	0.19827	
0.398	0.198682	
0.399	0.198844	
0.400	0.198399	
0.401	0.198014	
0.402	0.197864	
0.403	0.198885	
0.404	0.199484	
0.405	0.199361	
