  time [ms]     ;   speed [rpm]  ; torque [Nm]
  0.52083333E-01;   480.00000    ;   3.2994810    
  0.10416667    ;   480.00000    ;   2.4061072    
  0.15625000    ;   480.00000    ;   1.6017805    
  0.20833333    ;   480.00000    ;  0.98747097    
  0.26041667    ;   480.00000    ;  0.43999890    
  0.31250000    ;   480.00000    ;  0.29759982E-01
  0.36458333    ;   480.00000    ; -0.12462271    
  0.41666667    ;   480.00000    ; -0.13513443    
  0.46875000    ;   480.00000    ; -0.27364891E-02
  0.52083333    ;   480.00000    ;  0.25388738    
  0.57291667    ;   480.00000    ;  0.70408580    
  0.62500000    ;   480.00000    ;   1.2539722    
  0.67708333    ;   480.00000    ;   1.8195204    
  0.72916667    ;   480.00000    ;   2.5568283    
  0.78125000    ;   480.00000    ;   3.3125873    
  0.83333333    ;   480.00000    ;   4.0483804    
  0.88541667    ;   480.00000    ;   4.8419706    
  0.93750000    ;   480.00000    ;   5.6541094    
  0.98958333    ;   480.00000    ;   6.4467213    
   1.0416667    ;   480.00000    ;   7.0823283    
   1.0937500    ;   480.00000    ;   7.7429058    
   1.1458333    ;   480.00000    ;   8.3320620    
   1.1979167    ;   480.00000    ;   8.7065188    
   1.2500000    ;   480.00000    ;   8.9979863    
   1.3020833    ;   480.00000    ;   9.1390316    
   1.3541667    ;   480.00000    ;   9.0961262    
   1.4062500    ;   480.00000    ;   8.8294740    
   1.4583333    ;   480.00000    ;   8.4406163    
   1.5104167    ;   480.00000    ;   7.9416054    
   1.5625000    ;   480.00000    ;   7.1771863    
   1.6145833    ;   480.00000    ;   6.3472435    
   1.6666667    ;   480.00000    ;   5.4934990    
   1.7187500    ;   480.00000    ;   4.5492753    
   1.7708333    ;   480.00000    ;   3.5995130    
   1.8229167    ;   480.00000    ;   2.7048995    
   1.8750000    ;   480.00000    ;   1.9052520    
   1.9270833    ;   480.00000    ;   1.1774575    
   1.9791667    ;   480.00000    ;  0.58691901    
   2.0312500    ;   480.00000    ;  0.22328576    
   2.0833333    ;   480.00000    ; -0.49601655E-01
   2.1354167    ;   480.00000    ; -0.17543607    
   2.1875000    ;   480.00000    ; -0.54657859E-01
   2.2395833    ;   480.00000    ;  0.19200871    
   2.2916667    ;   480.00000    ;  0.56914313    
   2.3437500    ;   480.00000    ;   1.0203515    
   2.3958333    ;   480.00000    ;   1.6296426    
   2.4479167    ;   480.00000    ;   2.3126632    
   2.5000000    ;   480.00000    ;   2.9813547    
   2.5520833    ;   480.00000    ;   3.7830261    
