  time [ms]     ;   speed [rpm]  ;   torque [Nm]
  0.80645161E-02;   3100.0000    ;   3.2994615    
  0.16129032E-01;   3100.0000    ;   2.4060837    
  0.24193548E-01;   3100.0000    ;   1.6017364    
  0.32258065E-01;   3100.0000    ;  0.98738348    
  0.40322581E-01;   3100.0000    ;  0.43983556    
  0.48387097E-01;   3100.0000    ;  0.29500941E-01
  0.56451613E-01;   3100.0000    ; -0.12495498    
  0.64516129E-01;   3100.0000    ; -0.13551816    
  0.72580645E-01;   3100.0000    ; -0.31199244E-02
  0.80645161E-01;   3100.0000    ;  0.25359910    
  0.88709677E-01;   3100.0000    ;  0.70399572    
  0.96774194E-01;   3100.0000    ;   1.2541710    
  0.10483871    ;   3100.0000    ;   1.8200738    
  0.11290323    ;   3100.0000    ;   2.5578434    
  0.12096774    ;   3100.0000    ;   3.3140813    
  0.12903226    ;   3100.0000    ;   4.0503306    
  0.13709677    ;   3100.0000    ;   4.8443422    
  0.14516129    ;   3100.0000    ;   5.6568370    
  0.15322581    ;   3100.0000    ;   6.4497051    
  0.16129032    ;   3100.0000    ;   7.0853401    
  0.16935484    ;   3100.0000    ;   7.7458253    
  0.17741935    ;   3100.0000    ;   8.3347464    
  0.18548387    ;   3100.0000    ;   8.7087807    
  0.19354839    ;   3100.0000    ;   8.9996954    
  0.20161290    ;   3100.0000    ;   9.1401301    
  0.20967742    ;   3100.0000    ;   9.0966112    
  0.21774194    ;   3100.0000    ;   8.8293474    
  0.22580645    ;   3100.0000    ;   8.4399771    
  0.23387097    ;   3100.0000    ;   7.9405841    
  0.24193548    ;   3100.0000    ;   7.1759316    
  0.25000000    ;   3100.0000    ;   6.3459015    
  0.25806452    ;   3100.0000    ;   5.4921921    
  0.26612903    ;   3100.0000    ;   4.5481202    
  0.27419355    ;   3100.0000    ;   3.5985708    
  0.28225806    ;   3100.0000    ;   2.7041862    
  0.29032258    ;   3100.0000    ;   1.9047505    
  0.29838710    ;   3100.0000    ;   1.1771205    
  0.30645161    ;   3100.0000    ;  0.58668273    
  0.31451613    ;   3100.0000    ;  0.22307464    
  0.32258065    ;   3100.0000    ; -0.49828794E-01
  0.33064516    ;   3100.0000    ; -0.17570243    
  0.33870968    ;   3100.0000    ; -0.54945941E-01
  0.34677419    ;   3100.0000    ;  0.19173078    
  0.35483871    ;   3100.0000    ;  0.56893835    
  0.36290323    ;   3100.0000    ;   1.0203068    
  0.37096774    ;   3100.0000    ;   1.6298380    
  0.37903226    ;   3100.0000    ;   2.3131660    
  0.38709677    ;   3100.0000    ;   2.9821935    
  0.39516129    ;   3100.0000    ;   3.7842428    
  0.40322581    ;   3100.0000    ;   4.5756252    
  0.41129032    ;   3100.0000    ;   5.3283166    
  0.41935484    ;   3100.0000    ;   6.0989597    
  0.42741935    ;   3100.0000    ;   6.8509856    
  0.43548387    ;   3100.0000    ;   7.5603872    
  0.44354839    ;   3100.0000    ;   8.0673124    
  0.45161290    ;   3100.0000    ;   8.5460543    
