  time [ms]     ;   speed [rpm]  ;   torque [Nm]
  0.12500000E-01;   3100.0001    ;   491.77749    
  0.25000000E-01;   3099.9999    ;   490.01783    
  0.37500000E-01;   3099.9995    ;   488.05003    
  0.50000000E-01;   3099.9987    ;   484.87470    
  0.62500000E-01;   3099.9975    ;   485.96046    
  0.75000000E-01;   3099.9964    ;   487.74391    
  0.87500000E-01;   3099.9956    ;   488.56328    
  0.10000000    ;   3099.9949    ;   488.62035    
  0.11250000    ;   3099.9942    ;   488.53079    
  0.12500000    ;   3099.9935    ;   488.63698    
  0.13750000    ;   3099.9929    ;   488.84027    
  0.15000000    ;   3099.9923    ;   489.54534    
  0.16250000    ;   3099.9917    ;   490.40544    
  0.17500000    ;   3099.9913    ;   491.71514    
  0.18750000    ;   3099.9912    ;   493.22791    
  0.20000000    ;   3099.9912    ;   495.19415    
  0.21250000    ;   3099.9916    ;   495.50760    
  0.22500000    ;   3099.9920    ;   488.35839    
  0.23750000    ;   3099.9913    ;   483.13249    
  0.25000000    ;   3099.9898    ;   479.02125    
  0.26250000    ;   3099.9876    ;   486.76143    
  0.27500000    ;   3099.9866    ;   493.93357    
  0.28750000    ;   3099.9868    ;   500.41507    
  0.30000000    ;   3099.9880    ;   505.61483    
  0.31250000    ;   3099.9900    ;   509.95918    
  0.32500000    ;   3099.9927    ;   513.19047    
  0.33750000    ;   3099.9959    ;   515.41399    
  0.35000000    ;   3099.9994    ;   517.17047    
  0.36250000    ;   3100.0032    ;   518.19604    
  0.37500000    ;   3100.0072    ;   519.45480    
  0.38750000    ;   3100.0113    ;   520.52549    
  0.40000000    ;   3100.0157    ;   522.13653    
  0.41250000    ;   3100.0203    ;   524.09684    
  0.42500000    ;   3100.0252    ;   526.35572    
  0.43750000    ;   3100.0304    ;   529.06428    
  0.45000000    ;   3100.0361    ;   531.79827    
  0.46250000    ;   3100.0422    ;   531.39127    
  0.47500000    ;   3100.0483    ;   517.23296    
  0.48750000    ;   3100.0521    ;   520.86664    
  0.50000000    ;   3100.0565    ;   526.78606    
  0.51250000    ;   3100.0618    ;   532.74104    
  0.52500000    ;   3100.0680    ;   538.57410    
  0.53750000    ;   3100.0752    ;   544.53941    
  0.55000000    ;   3100.0833    ;   550.29526    
  0.56250000    ;   3100.0923    ;   555.29902    
  0.57500000    ;   3100.1021    ;   559.92219    
  0.58750000    ;   3100.1126    ;   563.22045    
  0.60000000    ;   3100.1237    ;   560.26009    
  0.61250000    ;   3100.1342    ;   534.18186    
  0.62500000    ;   3100.1407    ;   538.85189    
  0.63750000    ;   3100.1479    ;   541.85453    
  0.65000000    ;   3100.1556    ;   544.06829    
  0.66250000    ;   3100.1636    ;   546.22343    
  0.67500000    ;   3100.1720    ;   547.91617    
  0.68750000    ;   3100.1806    ;   549.72797    
  0.70000000    ;   3100.1896    ;   551.05020    
  0.71250000    ;   3100.1987    ;   551.36841    
  0.72500000    ;   3100.2079    ;   548.79812    
  0.73750000    ;   3100.2166    ;   545.53876    
  0.75000000    ;   3100.2249    ;   542.14055    
  0.76250000    ;   3100.2326    ;   540.20751    
  0.77500000    ;   3100.2401    ;   539.60754    
  0.78750000    ;   3100.2474    ;   539.40874    
  0.80000000    ;   3100.2547    ;   539.75093    
  0.81250000    ;   3100.2620    ;   539.81918    
  0.82500000    ;   3100.2694    ;   539.96419    
  0.83750000    ;   3100.2768    ;   539.22710    
  0.85000000    ;   3100.2841    ;   537.95981    
  0.86250000    ;   3100.2911    ;   535.71532    
  0.87500000    ;   3100.2979    ;   532.62177    
  0.88750000    ;   3100.3041    ;   529.16395    
  0.90000000    ;   3100.3098    ;   525.02485    
  0.91250000    ;   3100.3148    ;   521.31499    
  0.92500000    ;   3100.3193    ;   517.42070    
  0.93750000    ;   3100.3231    ;   514.26200    
  0.95000000    ;   3100.3265    ;   513.67819    
  0.96250000    ;   3100.3298    ;   513.00457    
  0.97500000    ;   3100.3329    ;   512.32098    
  0.98750000    ;   3100.3360    ;   511.48513    
   1.0000000    ;   3100.3389    ;   510.91374    
   1.0125000    ;   3100.3417    ;   510.42433    
   1.0250000    ;   3100.3445    ;   510.52849    
   1.0375000    ;   3100.3472    ;   510.92647    
   1.0500000    ;   3100.3501    ;   512.19392    
   1.0625000    ;   3100.3531    ;   513.68101    
   1.0750000    ;   3100.3564    ;   515.60138    
   1.0875000    ;   3100.3599    ;   513.11212    
   1.1000000    ;   3100.3631    ;   511.02403    
   1.1125000    ;   3100.3660    ;   509.13249    
   1.1250000    ;   3100.3685    ;   506.26757    
   1.1375000    ;   3100.3706    ;   505.46600    
   1.1500000    ;   3100.3726    ;   507.38577    
   1.1625000    ;   3100.3749    ;   508.28092    
   1.1750000    ;   3100.3773    ;   508.48695    
   1.1875000    ;   3100.3797    ;   508.57282    
   1.2000000    ;   3100.3822    ;   508.95442    
   1.2125000    ;   3100.3847    ;   509.44882    
   1.2250000    ;   3100.3873    ;   510.52084    
   1.2375000    ;   3100.3901    ;   511.74586    
   1.2500000    ;   3100.3931    ;   513.42226    
   1.2625000    ;   3100.3963    ;   515.28911    
   1.2750000    ;   3100.3998    ;   517.54551    
   1.2875000    ;   3100.4037    ;   520.17734    
   1.3000000    ;   3100.4080    ;   521.83555    
   1.3125000    ;   3100.4125    ;   516.14940    
   1.3250000    ;   3100.4161    ;   512.23774    
   1.3375000    ;   3100.4192    ;   509.54529    
   1.3500000    ;   3100.4218    ;   507.00126    
   1.3625000    ;   3100.4240    ;   504.74127    
   1.3750000    ;   3100.4259    ;   501.77610    
   1.3875000    ;   3100.4273    ;   510.84689    
   1.4000000    ;   3100.4301    ;   517.33768    
   1.4125000    ;   3100.4339    ;   522.02682    
   1.4250000    ;   3100.4385    ;   525.78898    
   1.4375000    ;   3100.4437    ;   528.47006    
   1.4500000    ;   3100.4493    ;   531.16515    
   1.4625000    ;   3100.4553    ;   533.51465    
   1.4750000    ;   3100.4616    ;   536.27936    
   1.4875000    ;   3100.4684    ;   539.31653    
   1.5000000    ;   3100.4757    ;   542.56635    
   1.5125000    ;   3100.4835    ;   546.22271    
   1.5250000    ;   3100.4919    ;   549.82492    
   1.5375000    ;   3100.5008    ;   551.50848    
   1.5500000    ;   3100.5100    ;   544.95977    
   1.5625000    ;   3100.5182    ;   546.08484    
   1.5750000    ;   3100.5265    ;   551.10565    
   1.5875000    ;   3100.5357    ;   556.68899    
   1.6000000    ;   3100.5457    ;   562.44035    
   1.6125000    ;   3100.5566    ;   568.44121    
   1.6250000    ;   3100.5685    ;   574.39917    
   1.6375000    ;   3100.5812    ;   579.67667    
   1.6500000    ;   3100.5949    ;   578.92424    
   1.6625000    ;   3100.6084    ;   554.76239    
   1.6750000    ;   3100.6181    ;   533.52115    
   1.6875000    ;   3100.6244    ;   513.40159    
   1.7000000    ;   3100.6277    ;   494.55657    
   1.7125000    ;   3100.6279    ;   502.42196    
   1.7250000    ;   3100.6294    ;   508.67577    
   1.7375000    ;   3100.6319    ;   514.06269    
   1.7500000    ;   3100.6352    ;   518.47078    
   1.7625000    ;   3100.6392    ;   522.59243    
   1.7750000    ;   3100.6439    ;   525.95477    
   1.7875000    ;   3100.6491    ;   528.71369    
   1.8000000    ;   3100.6547    ;   530.08034    
   1.8125000    ;   3100.6606    ;   528.41724    
   1.8250000    ;   3100.6661    ;   526.26483    
   1.8375000    ;   3100.6714    ;   523.88203    
   1.8500000    ;   3100.6762    ;   522.01443    
   1.8625000    ;   3100.6808    ;   522.22535    
   1.8750000    ;   3100.6854    ;   523.22295    
   1.8875000    ;   3100.6902    ;   524.05260    
   1.9000000    ;   3100.6951    ;   525.01497    
   1.9125000    ;   3100.7001    ;   525.17136    
   1.9250000    ;   3100.7052    ;   524.80102    
   1.9375000    ;   3100.7102    ;   523.51623    
   1.9500000    ;   3100.7150    ;   521.36751    
   1.9625000    ;   3100.7195    ;   518.90196    
   1.9750000    ;   3100.7235    ;   515.74713    
   1.9875000    ;   3100.7271    ;   513.01268    
   2.0000000    ;   3100.7303    ;   510.08156    
   2.0125000    ;   3100.7330    ;   507.81887    
   2.0250000    ;   3100.7353    ;   507.08224    
   2.0375000    ;   3100.7376    ;   506.93410    
   2.0500000    ;   3100.7398    ;   506.63122    
   2.0625000    ;   3100.7419    ;   506.08896    
