  time [ms]     ;   speed [rpm]  ;   torque [Nm]
  0.80645161E-02;   3100.0000    ;   483.30957    
  0.16129032E-01;   3100.0000    ;   484.35189    
  0.24193548E-01;   3100.0000    ;   485.05054    
  0.32258065E-01;   3100.0000    ;   485.05214    
  0.40322581E-01;   3100.0000    ;   484.99304    
  0.48387097E-01;   3100.0000    ;   484.67528    
  0.56451613E-01;   3100.0000    ;   483.82196    
  0.64516129E-01;   3100.0000    ;   482.76206    
  0.72580645E-01;   3100.0000    ;   481.70721    
  0.80645161E-01;   3100.0000    ;   480.57121    
  0.88709677E-01;   3100.0000    ;   479.17878    
  0.96774194E-01;   3100.0000    ;   477.97152    
  0.10483871    ;   3100.0000    ;   477.04592    
  0.11290323    ;   3100.0000    ;   476.00334    
  0.12096774    ;   3100.0000    ;   475.14767    
  0.12903226    ;   3100.0000    ;   474.54977    
  0.13709677    ;   3100.0000    ;   474.08650    
  0.14516129    ;   3100.0000    ;   473.72670    
  0.15322581    ;   3100.0000    ;   473.48733    
  0.16129032    ;   3100.0000    ;   473.49837    
  0.16935484    ;   3100.0000    ;   473.54787    
  0.17741935    ;   3100.0000    ;   473.72343    
  0.18548387    ;   3100.0000    ;   474.24995    
  0.19354839    ;   3100.0000    ;   474.86137    
  0.20161290    ;   3100.0000    ;   475.69135    
  0.20967742    ;   3100.0000    ;   476.88774    
  0.21774194    ;   3100.0000    ;   478.35293    
  0.22580645    ;   3100.0000    ;   479.99267    
  0.23387097    ;   3100.0000    ;   481.80669    
  0.24193548    ;   3100.0000    ;   484.00695    
  0.25000000    ;   3100.0000    ;   486.20519    
  0.25806452    ;   3100.0000    ;   488.21264    
  0.26612903    ;   3100.0000    ;   490.38316    
  0.27419355    ;   3100.0000    ;   492.41051    
  0.28225806    ;   3100.0000    ;   494.10460    
  0.29032258    ;   3100.0000    ;   495.37109    
  0.29838710    ;   3100.0000    ;   496.53322    
  0.30645161    ;   3100.0000    ;   497.38872    
  0.31451613    ;   3100.0000    ;   497.56943    
  0.32258065    ;   3100.0000    ;   497.62756    
  0.33064516    ;   3100.0000    ;   497.53142    
  0.33870968    ;   3100.0000    ;   497.07507    
  0.34677419    ;   3100.0000    ;   496.44867    
  0.35483871    ;   3100.0000    ;   495.87112    
  0.36290323    ;   3100.0000    ;   495.38641    
  0.37096774    ;   3100.0000    ;   494.72368    
  0.37903226    ;   3100.0000    ;   494.20571    
  0.38709677    ;   3100.0000    ;   494.00804    
  0.39516129    ;   3100.0000    ;   493.79031    
  0.40322581    ;   3100.0000    ;   493.68119    
  0.41129032    ;   3100.0000    ;   493.72608    
  0.41935484    ;   3100.0000    ;   493.92271    
  0.42741935    ;   3100.0000    ;   494.19028    
  0.43548387    ;   3100.0000    ;   494.40399    
  0.44354839    ;   3100.0000    ;   494.84339    
  0.45161290    ;   3100.0000    ;   495.32020    
  0.45967742    ;   3100.0000    ;   495.84446    
  0.46774194    ;   3100.0000    ;   496.67997    
  0.47580645    ;   3100.0000    ;   497.62379    
  0.48387097    ;   3100.0000    ;   498.75821    
  0.49193548    ;   3100.0000    ;   500.21588    
  0.50000000    ;   3100.0000    ;   501.94283    
  0.50806452    ;   3100.0000    ;   503.80526    
  0.51612903    ;   3100.0000    ;   505.67917    
  0.52419355    ;   3100.0000    ;   507.87558    
  0.53225806    ;   3100.0000    ;   510.00379    
  0.54032258    ;   3100.0000    ;   511.78978    
  0.54838710    ;   3100.0000    ;   513.57798    
  0.55645161    ;   3100.0000    ;   515.21173    
  0.56451613    ;   3100.0000    ;   516.45164    
  0.57258065    ;   3100.0000    ;   517.16850    
  0.58064516    ;   3100.0000    ;   517.78361    
  0.58870968    ;   3100.0000    ;   518.18257    
  0.59677419    ;   3100.0000    ;   517.94217    
  0.60483871    ;   3100.0000    ;   517.62252    
  0.61290323    ;   3100.0000    ;   517.32002    
  0.62096774    ;   3100.0000    ;   516.80653    
  0.62903226    ;   3100.0000    ;   516.15539    
  0.63709677    ;   3100.0000    ;   515.64180    
  0.64516129    ;   3100.0000    ;   515.33145    
  0.65322581    ;   3100.0000    ;   514.85728    
  0.66129032    ;   3100.0000    ;   514.41304    
  0.66935484    ;   3100.0000    ;   514.22737    
  0.67741935    ;   3100.0000    ;   513.93731    
  0.68548387    ;   3100.0000    ;   513.56807    
  0.69354839    ;   3100.0000    ;   513.08510    
  0.70161290    ;   3100.0000    ;   512.60398    
  0.70967742    ;   3100.0000    ;   512.01229    
  0.71774194    ;   3100.0000    ;   511.16132    
  0.72580645    ;   3100.0000    ;   510.41409    
  0.73387097    ;   3100.0000    ;   509.60564    
  0.74193548    ;   3100.0000    ;   508.75593    
  0.75000000    ;   3100.0000    ;   508.19920    
  0.75806452    ;   3100.0000    ;   507.68964    
  0.76612903    ;   3100.0000    ;   507.28632    
  0.77419355    ;   3100.0000    ;   507.08598    
  0.78225806    ;   3100.0000    ;   507.10466    
  0.79032258    ;   3100.0000    ;   507.10788    
  0.79838710    ;   3100.0000    ;   506.90299    
  0.80645161    ;   3100.0000    ;   506.89072    
  0.81451613    ;   3100.0000    ;   506.68315    
  0.82258065    ;   3100.0000    ;   505.97548    
  0.83064516    ;   3100.0000    ;   505.14454    
  0.83870968    ;   3100.0000    ;   504.12249    
  0.84677419    ;   3100.0000    ;   502.67256    
  0.85483871    ;   3100.0000    ;   500.70319    
  0.86290323    ;   3100.0000    ;   498.73712    
  0.87096774    ;   3100.0000    ;   496.66118    
  0.87903226    ;   3100.0000    ;   494.15047    
  0.88709677    ;   3100.0000    ;   491.73601    
  0.89516129    ;   3100.0000    ;   489.55899    
  0.90322581    ;   3100.0000    ;   487.37357    
  0.91129032    ;   3100.0000    ;   485.24762    
  0.91935484    ;   3100.0000    ;   483.44413    
  0.92741935    ;   3100.0000    ;   481.99469    
  0.93548387    ;   3100.0000    ;   480.53301    
  0.94354839    ;   3100.0000    ;   479.25976    
