  time [ms]     ;   speed [rpm]  ;   torque [Nm]
  0.52083333E-01;   60.000000    ;   4.0918310    
  0.10416667    ;   60.000000    ;   3.9808847    
  0.15625000    ;   60.000000    ;   3.8713203    
  0.20833333    ;   60.000000    ;   3.7632916    
  0.26041667    ;   60.000000    ;   3.6571907    
  0.31250000    ;   60.000000    ;   3.5462101    
  0.36458333    ;   60.000000    ;   3.4213235    
  0.41666667    ;   60.000000    ;   3.2994717    
  0.46875000    ;   60.000000    ;   3.1870636    
  0.52083333    ;   60.000000    ;   3.0742452    
  0.57291667    ;   60.000000    ;   2.9578072    
  0.62500000    ;   60.000000    ;   2.8438563    
  0.67708333    ;   60.000000    ;   2.7317815    
  0.72916667    ;   60.000000    ;   2.6214287    
  0.78125000    ;   60.000000    ;   2.5128507    
  0.83333333    ;   60.000000    ;   2.4060778    
  0.88541667    ;   60.000000    ;   2.3008902    
  0.93750000    ;   60.000000    ;   2.2005993    
  0.98958333    ;   60.000000    ;   2.0963764    
   1.0416667    ;   60.000000    ;   1.9859655    
   1.0937500    ;   60.000000    ;   1.8737427    
   1.1458333    ;   60.000000    ;   1.7785209    
   1.1979167    ;   60.000000    ;   1.6890698    
   1.2500000    ;   60.000000    ;   1.6017423    
   1.3020833    ;   60.000000    ;   1.5161162    
   1.3541667    ;   60.000000    ;   1.4328301    
   1.4062500    ;   60.000000    ;   1.3516544    
   1.4583333    ;   60.000000    ;   1.2730131    
   1.5104167    ;   60.000000    ;   1.1969624    
   1.5625000    ;   60.000000    ;   1.1236610    
   1.6145833    ;   60.000000    ;   1.0534018    
   1.6666667    ;   60.000000    ;  0.98744451    
   1.7187500    ;   60.000000    ;  0.91185544    
   1.7708333    ;   60.000000    ;  0.83133031    
   1.8229167    ;   60.000000    ;  0.75652929    
   1.8750000    ;   60.000000    ;  0.69393849    
   1.9270833    ;   60.000000    ;  0.62713950    
   1.9791667    ;   60.000000    ;  0.56161238    
   2.0312500    ;   60.000000    ;  0.49937422    
   2.0833333    ;   60.000000    ;  0.44000923    
   2.1354167    ;   60.000000    ;  0.38330716    
   2.1875000    ;   60.000000    ;  0.32918130    
   2.2395833    ;   60.000000    ;  0.27743299    
   2.2916667    ;   60.000000    ;  0.22892967    
   2.3437500    ;   60.000000    ;  0.18616731    
   2.3958333    ;   60.000000    ;  0.13492823    
   2.4479167    ;   60.000000    ;  0.78756780E-01
   2.5000000    ;   60.000000    ;  0.29823791E-01
   2.5520833    ;   60.000000    ; -0.33827693E-02
   2.6041667    ;   60.000000    ; -0.29534848E-01
   2.6562500    ;   60.000000    ; -0.53060891E-01
   2.7083333    ;   60.000000    ; -0.73459225E-01
   2.7604167    ;   60.000000    ; -0.90740182E-01
   2.8125000    ;   60.000000    ; -0.10515963    
   2.8645833    ;   60.000000    ; -0.11638724    
   2.9166667    ;   60.000000    ; -0.12452307    
   2.9687500    ;   60.000000    ; -0.12939096    
   3.0208333    ;   60.000000    ; -0.13015939    
   3.0729167    ;   60.000000    ; -0.12669650    
   3.1250000    ;   60.000000    ; -0.13869596    
   3.1770833    ;   60.000000    ; -0.14754082    
   3.2291667    ;   60.000000    ; -0.14721396    
   3.2812500    ;   60.000000    ; -0.13879364    
   3.3333333    ;   60.000000    ; -0.13501379    
   3.3854167    ;   60.000000    ; -0.12752674    
   3.4375000    ;   60.000000    ; -0.11709119    
   3.4895833    ;   60.000000    ; -0.10396513    
   3.5416667    ;   60.000000    ; -0.88312742E-01
   3.5937500    ;   60.000000    ; -0.70430320E-01
   3.6458333    ;   60.000000    ; -0.50753420E-01
   3.6979167    ;   60.000000    ; -0.27000852E-01
   3.7500000    ;   60.000000    ; -0.26246017E-02
   3.8020833    ;   60.000000    ;  0.12548736E-01
   3.8541667    ;   60.000000    ;  0.19118171E-01
   3.9062500    ;   60.000000    ;  0.42406854E-01
   3.9583333    ;   60.000000    ;  0.77385615E-01
   4.0104167    ;   60.000000    ;  0.11733686    
   4.0625000    ;   60.000000    ;  0.16008139    
   4.1145833    ;   60.000000    ;  0.20564248    
   4.1666667    ;   60.000000    ;  0.25394886    
   4.2187500    ;   60.000000    ;  0.30507039    
   4.2708333    ;   60.000000    ;  0.35912790    
   4.3229167    ;   60.000000    ;  0.41571098    
   4.3750000    ;   60.000000    ;  0.47526909    
   4.4270833    ;   60.000000    ;  0.53890096    
   4.4791667    ;   60.000000    ;  0.60004404    
   4.5312500    ;   60.000000    ;  0.64968737    
   4.5833333    ;   60.000000    ;  0.70405376    
   4.6354167    ;   60.000000    ;  0.76961652    
   4.6875000    ;   60.000000    ;  0.83633127    
