  time [ms]     ;   speed [rpm]  ; torque [Nm]
  0.52083333E-01;   960.00000    ;   2.4061068    
  0.10416667    ;   960.00000    ;  0.98746431    
  0.15625000    ;   960.00000    ;  0.29712291E-01
  0.20833333    ;   960.00000    ; -0.13521898    
  0.26041667    ;   960.00000    ;  0.25382525    
  0.31250000    ;   960.00000    ;   1.2540675    
  0.36458333    ;   960.00000    ;   2.5571763    
  0.41666667    ;   960.00000    ;   4.0489973    
  0.46875000    ;   960.00000    ;   5.6549050    
  0.52083333    ;   960.00000    ;   7.0831130    
  0.57291667    ;   960.00000    ;   8.3325895    
  0.62500000    ;   960.00000    ;   8.9980777    
  0.67708333    ;   960.00000    ;   9.0957228    
  0.72916667    ;   960.00000    ;   8.4398525    
  0.78125000    ;   960.00000    ;   7.1763123    
  0.83333333    ;   960.00000    ;   5.4927520    
  0.88541667    ;   960.00000    ;   3.5990430    
  0.93750000    ;   960.00000    ;   1.9050446    
  0.98958333    ;   960.00000    ;  0.58686417    
   1.0416667    ;   960.00000    ; -0.49636611E-01
   1.0937500    ;   960.00000    ; -0.54720409E-01
   1.1458333    ;   960.00000    ;  0.56911439    
   1.1979167    ;   960.00000    ;   1.6297638    
   1.2500000    ;   960.00000    ;   2.9817118    
   1.3020833    ;   960.00000    ;   4.5746598    
   1.3541667    ;   960.00000    ;   6.0976462    
   1.4062500    ;   960.00000    ;   7.5589449    
   1.4583333    ;   960.00000    ;   8.5449176    
   1.5104167    ;   960.00000    ;   9.0634319    
   1.5625000    ;   960.00000    ;   8.9044284    
   1.6145833    ;   960.00000    ;   8.0296418    
   1.6666667    ;   960.00000    ;   6.6489602    
   1.7187500    ;   960.00000    ;   4.7869616    
   1.7708333    ;   960.00000    ;   2.9757830    
   1.8229167    ;   960.00000    ;   1.3606649    
   1.8750000    ;   960.00000    ;  0.27839642    
   1.9270833    ;   960.00000    ; -0.14267945    
   1.9791667    ;   960.00000    ;  0.19351627E-01
   2.0312500    ;   960.00000    ;  0.86822062    
   2.0833333    ;   960.00000    ;   2.0415484    
   2.1354167    ;   960.00000    ;   3.5733723    
   2.1875000    ;   960.00000    ;   5.1246266    
   2.2395833    ;   960.00000    ;   6.6325343    
   2.2916667    ;   960.00000    ;   7.9489655    
   2.3437500    ;   960.00000    ;   8.8047450    
   2.3958333    ;   960.00000    ;   9.1615647    
   2.4479167    ;   960.00000    ;   8.7226581    
   2.5000000    ;   960.00000    ;   7.6858038    
   2.5520833    ;   960.00000    ;   6.0629297    
   2.6041667    ;   960.00000    ;   4.2167099    
   2.6562500    ;   960.00000    ;   2.4294031    
   2.7083333    ;   960.00000    ;  0.96005820    
   2.7604167    ;   960.00000    ;  0.93222651E-01
   2.8125000    ;   960.00000    ; -0.16734835    
   2.8645833    ;   960.00000    ;  0.29555843    
   2.9166667    ;   960.00000    ;   1.2197863    
   2.9687500    ;   960.00000    ;   2.5607414    
   3.0208333    ;   960.00000    ;   4.0468885    
   3.0729167    ;   960.00000    ;   5.5969979    
   3.1250000    ;   960.00000    ;   7.1186267    
   3.1770833    ;   960.00000    ;   8.2722616    
   3.2291667    ;   960.00000    ;   9.0573046    
   3.2812500    ;   960.00000    ;   9.0468248    
   3.3333333    ;   960.00000    ;   8.4418101    
   3.3854167    ;   960.00000    ;   7.1682184    
   3.4375000    ;   960.00000    ;   5.4565061    
   3.4895833    ;   960.00000    ;   3.6290193    
   3.5416667    ;   960.00000    ;   1.8485539    
   3.5937500    ;   960.00000    ;  0.61157906    
   3.6458333    ;   960.00000    ; -0.89735789E-01
   3.6979167    ;   960.00000    ; -0.58562931E-01
   3.7500000    ;   960.00000    ;  0.56558673    
   3.8020833    ;   960.00000    ;   1.6128722    
   3.8541667    ;   960.00000    ;   3.0548000    
   3.9062500    ;   960.00000    ;   4.5680045    
   3.9583333    ;   960.00000    ;   6.1896525    
   4.0104167    ;   960.00000    ;   7.5499009    
   4.0625000    ;   960.00000    ;   8.6004375    
   4.1145833    ;   960.00000    ;   9.1017899    
   4.1666667    ;   960.00000    ;   8.9251897    
   4.2187500    ;   960.00000    ;   8.1141125    
   4.2708333    ;   960.00000    ;   6.6421238    
   4.3229167    ;   960.00000    ;   4.8663072    
   4.3750000    ;   960.00000    ;   2.9769291    
   4.4270833    ;   960.00000    ;   1.3963029    
   4.4791667    ;   960.00000    ;  0.31213434    
   4.5312500    ;   960.00000    ; -0.13896808    
   4.5833333    ;   960.00000    ;  0.85365642E-01
   4.6354167    ;   960.00000    ;  0.83463970    
   4.6875000    ;   960.00000    ;   2.0822203    
   4.7395833    ;   960.00000    ;   3.5172785    
   4.7916667    ;   960.00000    ;   5.1400330    
   4.8437500    ;   960.00000    ;   6.6258570    
   4.8958333    ;   960.00000    ;   7.9209619    
   4.9479167    ;   960.00000    ;   8.8409938    
   5.0000000    ;   960.00000    ;   9.1051036    
   5.0520833    ;   960.00000    ;   8.7773626    
   5.1041667    ;   960.00000    ;   7.6288076    
   5.1562500    ;   960.00000    ;   6.0758234    
   5.2083333    ;   960.00000    ;   4.2104224    
   5.2604167    ;   960.00000    ;   2.4126769    
   5.3125000    ;   960.00000    ;  0.99392765    
   5.3645833    ;   960.00000    ;  0.35948407E-01
   5.4166667    ;   960.00000    ; -0.12943291    
   5.4687500    ;   960.00000    ;  0.25903738    
   5.5208333    ;   960.00000    ;   1.2585874    
   5.5729167    ;   960.00000    ;   2.5609030    
   5.6250000    ;   960.00000    ;   4.0521233    
   5.6770833    ;   960.00000    ;   5.6575177    
   5.7291667    ;   960.00000    ;   7.0852969    
   5.7812500    ;   960.00000    ;   8.3343551    
   5.8333333    ;   960.00000    ;   8.9991823    
   5.8854167    ;   960.00000    ;   9.0958639    
   5.9375000    ;   960.00000    ;   8.4386672    
   5.9895833    ;   960.00000    ;   7.1735284    
   6.0416667    ;   960.00000    ;   5.4881886    
   6.0937500    ;   960.00000    ;   3.5923156    
   6.1458333    ;   960.00000    ;   1.8961321    
   6.1979167    ;   960.00000    ;  0.57593956    
   6.2500000    ;   960.00000    ; -0.61852720E-01
   6.3020833    ;   960.00000    ; -0.65700016E-01
   6.3541667    ;   960.00000    ;  0.56146113    
   6.4062500    ;   960.00000    ;   1.6290204    
   6.4583333    ;   960.00000    ;   2.9883911    
   6.5104167    ;   960.00000    ;   4.5891322    
   6.5625000    ;   960.00000    ;   6.1178873    
   6.6145833    ;   960.00000    ;   7.5833391    
   6.6666667    ;   960.00000    ;   8.5718442    
   6.7187500    ;   960.00000    ;   9.0919723    
   6.7708333    ;   960.00000    ;   8.9337662    
   6.8229167    ;   960.00000    ;   8.0591390    
   6.8750000    ;   960.00000    ;   6.6773183    
   6.9270833    ;   960.00000    ;   4.8131952    
   6.9791667    ;   960.00000    ;   2.9994747    
   7.0312500    ;   960.00000    ;   1.3820404    
   7.0833333    ;   960.00000    ;  0.29833806    
   7.1354167    ;   960.00000    ; -0.12435337    
   7.1875000    ;   960.00000    ;  0.36070757E-01
   7.2395833    ;   960.00000    ;  0.88232617    
   7.2916667    ;   960.00000    ;   2.0530411    
   7.3437500    ;   960.00000    ;   3.5821940    
   7.3958333    ;   960.00000    ;   5.1314798    
   7.4479167    ;   960.00000    ;   6.6379060    
   7.5000000    ;   960.00000    ;   7.9534366    
   7.5520833    ;   960.00000    ;   8.8086820    
   7.6041667    ;   960.00000    ;   9.1651941    
   7.6562500    ;   960.00000    ;   8.7260167    
   7.7083333    ;   960.00000    ;   7.6888378    
   7.7604167    ;   960.00000    ;   6.0655901    
   7.8125000    ;   960.00000    ;   4.2189562    
   7.8645833    ;   960.00000    ;   2.4312223    
   7.9166667    ;   960.00000    ;  0.96144296    
   7.9687500    ;   960.00000    ;  0.94120596E-01
   8.0208333    ;   960.00000    ; -0.16702494    
